	dim1	dim2	pt
E986_72	-3.1414888	7.178577	0.08679
E57_384	-3.0894523	4.6102242	0.47925
E477_282	5.5691047	4.5183244	0.35094
E698_202	2.36603	4.2906623	0.25031
E623_434	-1.0297691	-0.74705154	0.54214
E748_137	-1.901827	6.71864	0.16855
E12_542	-4.030803	-9.328266	0.67799
E821_591	7.3914413	4.9219136	0.73962
E449_42	-3.7047083	7.1528845	0.04906
E762_527	8.375743	6.076442	0.65912
E580_58	-3.5646088	7.6144595	0.06918
E973_188	0.61164975	3.8067112	0.2327
E562_430	-1.4152528	-1.5186079	0.53711
E735_744	-5.069538	-8.809829	0.93208
E35_315	-1.3510405	-1.206204	0.39245
E288_565	7.8973527	5.164514	0.70692
E930_151	-0.9305965	5.2741437	0.18616
E633_694	-3.9356513	-9.358358	0.86918
E551_511	-4.5232267	-10.197095	0.63899
E584_505	7.5534935	4.4533906	0.63145
E124_265	0.42064974	1.3573515	0.32956
E535_716	7.985043	4.5956283	0.89686
E110_580	6.679827	6.0387225	0.72579
E433_767	-5.7440186	-9.339012	0.96101
E487_371	-0.39960495	-0.23761019	0.46289
E801_278	4.7000422	4.5964847	0.34591
E910_585	7.4528637	4.275843	0.73208
E228_87	-2.1060982	6.333877	0.10566
E680_733	-3.4992769	-8.695369	0.91824
E802_670	-3.3591638	-8.21256	0.83899
E213_518	-4.4514036	-8.970304	0.6478
E188_658	7.0414796	5.2133784	0.8239
E107_232	2.53894	3.0043514	0.28805
E929_443	-3.0446177	-9.528774	0.55346
E797_621	6.890001	4.798354	0.77736
E304_786	-3.9088624	-10.09852	0.98491
E262_663	6.909562	6.554207	0.83019
E983_30	-3.864856	7.3501153	0.03396
E47_215	2.1290305	3.8161032	0.26667
E222_61	-3.4756324	7.561851	0.07296
E828_247	0.5057336	1.5612745	0.30692
E329_72	-3.252125	6.812403	0.08679
E744_191	0.18971035	1.6271532	0.23648
E312_3	-3.80888	8.649563	0.0
E575_9	-3.6793876	8.157566	0.00755
E506_642	-5.257176	-9.690805	0.80377
E652_607	7.7256656	6.161221	0.75975
E327_586	7.960288	4.2083035	0.73333
E948_511	7.3917665	4.855609	0.63899
E767_402	-3.1278825	5.081049	0.50189
E11_64	-3.5289333	7.606433	0.07673
E147_652	-5.455134	-9.307278	0.81635
E365_662	7.5663614	4.3743496	0.82893
E531_93	-2.2775545	6.3513885	0.11321
E895_416	-0.7587052	-0.77468604	0.5195
E199_73	-3.0535803	7.361016	0.08805
E505_695	8.569835	5.277618	0.87044
E789_712	-3.459596	-9.454048	0.89182
E99_469	5.9753304	5.362206	0.58616
E265_244	0.7614955	2.0150197	0.30314
E19_762	-4.9355907	-8.553699	0.95472
E492_314	0.008635331	0.35981873	0.39119
E395_115	-2.0400963	6.1338344	0.14088
E647_267	0.6247904	1.6862116	0.33208
E501_239	0.28869757	1.2115088	0.29686
E331_316	0.22316715	0.90803754	0.39371
E52_662	-4.577629	-10.06272	0.82893
E104_377	-4.8453517	-9.690241	0.47044
E276_471	-3.5353653	-8.209703	0.58868
E249_261	3.1828623	4.3547177	0.32453
E396_102	-1.866563	5.7947793	0.12453
E323_59	-3.5777566	7.563652	0.07044
E650_528	-3.2704995	-6.4417973	0.66038
E216_663	-4.4416213	-10.021381	0.83019
E135_494	-3.6414695	-7.449803	0.61761
E990_221	0.41723728	2.7923267	0.27421
E643_543	-3.4662466	-7.452301	0.67925
E598_774	7.023812	5.6028943	0.96981
E911_445	-4.8030643	-9.692317	0.55597
E490_545	-3.3199093	-10.026268	0.68176
E679_575	-3.8508923	-9.075991	0.7195
E15_238	4.8326645	4.734917	0.2956
E874_622	-5.719259	-9.916742	0.77862
E156_579	-3.0802858	-8.885112	0.72453
E699_455	7.3122	4.3157706	0.56855
E173_63	-3.6723912	7.492552	0.07547
E865_621	-2.6946557	-9.036564	0.77736
E398_93	-2.1910908	6.2855744	0.11321
E98_492	-3.4946237	-8.260363	0.61509
E540_258	3.3351676	4.3193393	0.32075
E171_362	-0.56993526	-0.60817885	0.45157
E971_306	0.24740715	0.8820254	0.38113
E235_722	6.2952533	4.416255	0.9044
E555_541	6.405119	4.9973283	0.67673
E272_184	0.5157365	4.386895	0.22767
E721_147	-2.2633026	6.0523543	0.18113
E894_611	-3.5329137	-7.3432937	0.76478
E153_107	-2.6229904	6.9540358	0.13082
E86_496	6.9127316	4.619532	0.62013
E933_91	-2.7566948	5.7570367	0.11069
E80_732	-4.963814	-10.12761	0.91698
E350_706	-4.6132593	-9.369981	0.88428
E275_359	6.2681584	6.353704	0.4478
E245_573	-3.5441368	-11.220751	0.71698
E720_131	-1.6879269	5.278518	0.16101
E682_398	-1.8942846	-0.13846785	0.49686
E478_122	-1.8850228	6.371966	0.14969
E826_36	-3.5401819	7.330162	0.04151
E164_297	-0.6761368	-0.3825899	0.36981
E246_709	-4.3700767	-8.766487	0.88805
E317_164	-1.4556079	5.76638	0.20252
E496_161	-1.2458231	5.472858	0.19874
E534_524	8.357177	5.1368804	0.65535
E818_154	0.25626177	4.7288065	0.18994
E405_688	6.6111026	5.5279408	0.86164
E964_141	-2.2528868	5.5456977	0.17358
E808_558	-4.406491	-10.900662	0.69811
E260_521	-3.4538069	-8.261329	0.65157
E219_344	6.997775	6.2877083	0.42893
E71_129	-1.164398	5.5469503	0.15849
E335_61	-3.946156	7.385744	0.07296
E143_144	-1.484169	5.4216113	0.17736
E286_689	-5.0657034	-8.801459	0.86289
E688_309	3.1647818	4.1850657	0.38491
E167_737	7.4019933	5.677084	0.92327
E533_225	1.2327658	4.0745792	0.27925
E445_67	-3.5037365	7.157513	0.0805
E379_148	-1.6401504	4.9581227	0.18239
E956_574	-2.740377	-8.278503	0.71824
E93_625	-3.7343314	-9.262281	0.78239
E482_661	-4.646021	-8.098981	0.82767
E737_93	-2.6076388	7.025809	0.11321
E703_219	0.15219258	1.0943067	0.2717
E590_468	-1.4070095	-1.3089906	0.58491
E831_382	-1.5222778	-1.2634043	0.47673
E784_80	-3.4109998	6.904531	0.09686
E182_624	-4.416675	-10.232425	0.78113
E480_346	-0.4263947	-0.6864082	0.43145
E339_746	6.2057114	5.352011	0.93459
E813_301	5.235542	4.744059	0.37484
E868_170	-1.8290983	5.0690703	0.21006
E775_487	-3.7626054	-8.131096	0.60881
E91_788	-3.9183567	-9.008056	0.98742
E220_92	-2.0409017	6.457523	0.11195
E429_182	0.50601083	4.7135634	0.22516
E24_669	6.904605	6.0944014	0.83774
E728_532	-3.786346	-8.649166	0.66541
E574_537	-3.9032857	-8.995326	0.6717
E302_300	-0.19132265	0.16441245	0.37358
E333_271	-0.1630333	0.5577636	0.33711
E95_798	-4.4311805	-10.644181	1.0
E31_560	-5.0804853	-10.083624	0.70063
E120_369	8.920291	5.8757544	0.46038
E404_9	-3.7278125	8.332812	0.00755
E334_41	-3.9597826	7.43995	0.0478
E937_83	-2.7234907	7.2137847	0.10063
E223_663	-4.93944	-9.997859	0.83019
E257_484	-5.3748856	-9.267355	0.60503
E457_7	-3.712054	8.2550335	0.00503
E972_642	-4.991641	-9.495725	0.80377
E103_119	-2.6341226	6.503362	0.14591
E45_457	7.9924374	4.5256195	0.57107
E370_150	-1.3865925	6.028466	0.18491
E313_506	-4.717431	-8.822972	0.6327
E69_136	-1.3098211	5.5104866	0.1673
E359_136	-0.6543679	5.5289183	0.1673
E450_785	7.142049	4.97618	0.98365
E60_509	-3.2094436	-9.018831	0.63648
E671_648	6.09491	5.888127	0.81132
E215_762	-3.7972116	-9.457751	0.95472
E825_147	-1.544025	5.5469313	0.18113
E406_228	0.6816181	1.7690346	0.28302
E875_551	-4.8671722	-9.483116	0.68931
E685_386	-3.5007484	-7.101577	0.48176
E732_123	-1.9003215	6.219685	0.15094
E384_366	-0.24378355	-0.024316605	0.4566
E934_150	-1.0995463	5.4996424	0.18491
E426_605	-2.7539496	-8.493801	0.75723
E944_397	6.8015637	5.8281713	0.4956
E548_55	-3.3131633	7.6478024	0.06541
E938_487	-1.3305014	-1.3125386	0.60881
E419_559	-3.2609367	-6.396089	0.69937
E2_606	6.6596713	5.253414	0.75849
E428_574	7.9101043	5.022336	0.71824
E711_387	7.7915845	5.314667	0.48302
E268_331	-0.9022254	-0.37168822	0.41258
E655_135	-1.3199254	5.660986	0.16604
E856_257	0.120354384	1.2834582	0.3195
E885_357	6.7018456	6.766597	0.44528
E469_395	-1.424455	-1.6365376	0.49308
E250_307	2.1773689	3.3978224	0.38239
E402_348	2.7658498	4.0357327	0.43396
E314_202	1.4394343	4.01324	0.25031
E719_590	-4.5592484	-10.010816	0.73836
E582_567	8.066329	5.0601206	0.70943
E70_470	-5.5054107	-8.017266	0.58742
E661_268	2.8228185	4.0573087	0.33333
E197_97	-3.2594779	6.4691763	0.11824
E602_47	-3.4471185	7.6263247	0.05535
E809_157	-0.99014366	5.268302	0.19371
E840_111	-1.826873	5.920911	0.13585
E512_519	7.1798863	5.584399	0.64906
E3_125	-2.063183	5.4101586	0.15346
E583_554	8.525724	5.637518	0.69308
E705_87	-2.9629226	7.158239	0.10566
E118_787	-5.127031	-8.587667	0.98616
E847_430	-1.280242	-1.1752441	0.53711
E723_668	-4.340223	-7.475989	0.83648
E940_222	0.6527445	1.7552606	0.27547
E290_282	3.19646	4.262117	0.35094
E549_696	-3.2625692	-10.683283	0.8717
E908_73	-3.5222406	6.809229	0.08805
E28_220	0.096665226	1.8626149	0.27296
E842_479	-3.892005	-7.9232135	0.59874
E184_556	6.21518	5.131517	0.6956
E824_436	6.573261	5.942269	0.54465
E129_175	-1.6184348	5.428991	0.21635
E458_225	0.5012902	1.3711209	0.27925
E244_796	8.143421	5.151723	0.99748
E10_346	-0.65843093	-0.42215213	0.43145
E134_134	-1.2696714	5.1018267	0.16478
E709_709	8.191591	5.9128084	0.88805
E183_56	-2.9549325	7.73923	0.06667
E307_423	-4.688034	-9.322902	0.5283
E190_721	8.538633	5.093338	0.90314
E921_441	-1.2969521	-1.2736847	0.55094
E833_533	-3.1917915	-6.467491	0.66667
E783_692	7.1869035	4.4280043	0.86667
E367_262	0.4053697	0.98278993	0.32579
E131_306	-0.017027896	-0.10337877	0.38113
E757_479	-3.3203197	-6.371077	0.59874
E608_513	2.9888995	4.219291	0.64151
E899_616	-5.4807463	-8.982081	0.77107
E571_591	-3.6480296	-10.362713	0.73962
E529_774	-2.8070264	-9.509182	0.96981
E400_412	-1.2526157	-0.92143273	0.51447
E799_237	0.4613043	1.2538283	0.29434
E210_563	-4.24348	-9.477525	0.7044
E675_244	3.832297	4.4670386	0.30314
E50_490	8.219367	5.652815	0.61258
E303_760	-4.826533	-7.975393	0.9522
E324_353	-0.02123286	0.4133035	0.44025
E924_421	8.428934	6.39316	0.52579
E483_665	6.928759	5.066111	0.8327
E211_771	8.589386	5.824866	0.96604
E691_433	6.737396	5.057305	0.54088
E224_712	7.2284775	5.9744735	0.89182
E6_554	6.5033717	6.0033307	0.69308
E566_711	7.2667584	6.031421	0.89057
E772_50	-3.6538184	7.0552816	0.05912
E162_545	6.8824134	5.9614954	0.68176
E255_758	-4.081118	-8.746317	0.94969
E495_284	-0.29674345	0.048492208	0.35346
E202_197	0.0329731	4.168053	0.24403
E713_133	-1.5309469	5.800278	0.16352
E970_506	-5.34613	-8.94735	0.6327
E371_674	-5.217329	-10.103958	0.84403
E557_798	7.300585	5.2076283	1.0
E773_391	7.683093	5.5652966	0.48805
E752_239	1.3223294	2.2501304	0.29686
E67_329	6.7037377	6.303648	0.41006
E810_80	-2.542245	6.674205	0.09686
E169_483	-3.36692	-7.797229	0.60377
E212_593	-5.090268	-8.480546	0.74214
