	dim1	dim2	pt
E564_723	10.662129	1.7953924	0.9068
E750_241	-1.2382809	-2.9754736	0.29975
E920_735	-4.4223323	5.579492	0.92191
E506_383	11.468333	-0.17904432	0.47859
E902_386	-6.7135854	6.4885902	0.48237
E29_48	0.26849362	0.28584924	0.05668
E735_508	-7.376172	4.3311744	0.63602
E174_141	-0.67564976	-7.816491	0.1738
E493_582	-2.2001553	-6.502534	0.72922
E374_348	-3.4177752	6.6347313	0.43451
E477_635	-5.0875683	6.7198896	0.79597
E798_611	-2.0690794	4.2502565	0.76574
E728_405	-5.520806	5.337241	0.5063
E420_413	-6.401634	4.926545	0.51637
E572_276	-5.882045	2.7354112	0.34383
E338_287	10.478223	-0.44584766	0.35768
E716_481	10.838013	1.8354914	0.60202
E832_428	10.413248	1.749737	0.53526
E973_364	-5.776016	3.8919945	0.45466
E528_727	-4.9355116	5.7280107	0.91184
E6_580	-2.0188997	4.391264	0.7267
E456_794	-1.5288405	-7.968831	0.99622
E262_149	-0.8025503	-4.432091	0.18388
E721_273	8.219338	1.0712992	0.34005
E685_519	-1.0666922	-8.58693	0.64987
E517_242	-4.5280027	4.704832	0.30101
E156_650	11.055623	-0.52041966	0.81486
E981_733	-2.26806	4.277734	0.9194
E989_47	-0.60915315	-0.2027225	0.05542
E306_72	-0.85067713	-1.9621252	0.0869
E183_151	-6.6731467	2.8097398	0.1864
E135_189	-6.1730566	3.3825676	0.23426
E140_437	-3.0390484	5.083524	0.5466
E830_695	10.756548	2.264422	0.87154
E159_547	-7.507888	4.0072703	0.68514
E909_389	-3.5982409	6.6171865	0.48615
E28_214	-6.5465198	4.075433	0.26574
E847_699	-5.17469	7.3970866	0.87657
E171_443	-3.7949297	5.0921164	0.55416
E548_477	-5.256719	4.360631	0.59698
E740_337	11.094009	-0.30633444	0.42065
E153_107	-3.7366066	0.5830706	0.13098
E388_733	-0.35502353	-7.3333197	0.9194
E323_460	-0.84027886	-7.2375655	0.57557
E775_680	-6.9782753	3.8910048	0.85264
E221_656	10.783334	-0.581455	0.82242
E60_714	-3.7933946	5.3655477	0.89547
E951_68	-0.96224487	-4.6686964	0.08186
E18_671	-4.8991446	3.6312442	0.84131
E956_140	-0.7651171	-6.209622	0.17254
E712_699	-3.8471906	3.589701	0.87657
E168_783	-5.6969686	5.373239	0.98237
E265_671	11.22491	-0.24119706	0.84131
E671_471	-5.0687647	7.891197	0.58942
E853_527	-6.745978	6.3481264	0.65995
E281_640	-3.9732103	3.1524239	0.80227
E24_335	-0.38354185	-8.06663	0.41814
E268_404	-0.42184755	-8.423206	0.50504
E910_531	-0.833573	-7.098076	0.66499
E770_328	-1.0982322	-7.872591	0.40932
E808_781	-4.2377105	4.3836727	0.97985
E496_165	-0.79267365	-6.2318034	0.20403
E870_243	8.361753	1.0134954	0.30227
E115_350	-0.8383036	-5.262476	0.43703
E179_755	-3.5047722	3.910743	0.9471
E68_389	10.105826	1.8913002	0.48615
E986_173	8.865769	0.41587126	0.21411
E304_106	8.614448	0.20726082	0.12972
E802_640	-6.580835	3.9789689	0.80227
E218_617	-4.83395	7.4189415	0.7733
E279_43	0.5313999	-0.22898538	0.05038
E703_149	-4.6860704	3.6561446	0.18388
E514_364	10.133543	2.0726445	0.45466
E686_421	0.08509144	-7.8666706	0.52645
E290_379	10.890158	0.31887546	0.47355
E463_764	-5.8925643	4.754368	0.95844
E711_395	-6.4993935	5.6646924	0.4937
E991_129	-1.4970534	-6.424776	0.15869
E984_176	-2.6848137	5.146443	0.21788
E683_586	0.08787577	-8.296373	0.73426
E657_192	-3.5604823	2.8555381	0.23804
E201_530	-0.24051605	-8.287189	0.66373
E562_797	-0.06423242	-6.9662304	1.0
E970_641	10.523791	1.9607083	0.80353
E806_29	-0.5642019	-1.2210373	0.03275
E835_80	-3.977465	0.41540724	0.09698
E320_500	9.92726	1.6061293	0.62594
E831_458	10.074721	2.1124673	0.57305
E785_361	-5.905013	3.7059348	0.45088
E373_129	-3.383964	6.400882	0.15869
E828_762	10.476255	2.407482	0.95592
E929_260	-0.83711284	-6.893795	0.32368
E286_729	-5.138428	4.793822	0.91436
E975_329	-0.8689248	-8.779121	0.41058
E838_741	10.69541	1.7738872	0.92947
E799_314	-2.1815484	3.7345796	0.39169
E696_530	-5.897533	5.4396706	0.66373
E423_793	-1.3084981	-7.3463125	0.99496
E576_76	-1.0150313	-4.346019	0.09194
E780_209	-1.4748609	5.81469	0.25945
E543_791	-5.1315913	3.674795	0.99244
E627_416	-1.994447	5.0063515	0.52015
E43_171	8.011219	1.0617707	0.21159
E503_451	-3.9695685	6.397671	0.56423
E16_454	-0.28149787	-7.279524	0.56801
E282_762	-3.446461	4.9303617	0.95592
E109_442	-6.5691705	3.8936594	0.5529
E844_6	-0.54678786	-0.8216219	0.00378
E7_674	10.89312	0.07078107	0.84509
E222_661	-5.965264	5.741366	0.82872
E758_445	-3.1845353	6.8952255	0.55668
E569_670	-0.8104753	-7.822728	0.84005
E972_15	-0.47255912	-0.40595168	0.01511
E849_457	-4.98301	6.7278943	0.57179
E64_639	-1.0854665	-7.042073	0.80101
E26_701	-3.4214625	6.8926396	0.87909
E212_294	-5.5846057	6.03324	0.3665
E654_513	-2.146003	6.826753	0.64232
E114_17	-1.4663666	0.20855598	0.01763
E360_10	-0.7693016	-0.6928586	0.00882
E302_147	7.9984303	1.0310069	0.18136
E558_367	-1.8335152	5.154277	0.45844
E303_646	-1.4177095	-7.927683	0.80982
E406_594	-1.0145631	-6.872609	0.74433
E289_425	-1.2315291	-7.2873473	0.53149
E473_156	-3.653489	1.8687553	0.1927
