	dim1	dim2	pt
E481_385	-8.144665	6.578463	0.77218
E468_471	-0.88422674	-3.4713178	0.94556
E886_299	-4.1913137	-8.119417	0.59879
E719_410	6.391819	3.9707186	0.82258
E665_484	3.977796	4.494334	0.97177
E500_491	6.8318286	5.620573	0.98589
E159_353	-8.993214	4.22863	0.70766
E839_311	5.3650937	4.6852098	0.62298
E272_114	-0.53034574	2.84139	0.22581
E179_423	5.8363943	5.221426	0.84879
E505_479	5.039914	6.086809	0.96169
E9_34	2.3332634	2.8392286	0.06452
E885_373	-2.8422613	-9.714906	0.74798
E891_316	-3.0271666	-7.785274	0.63306
E540_279	-8.983634	5.0751405	0.55847
E641_498	-3.388044	-9.240272	1.0
E521_312	-7.753231	6.1385303	0.625
E487_96	3.1572058	4.4865146	0.18952
E700_277	6.4287252	3.789876	0.55444
E912_479	-2.0679164	-8.582387	0.96169
E427_195	5.9714403	3.557186	0.38911
E941_250	-2.840018	-8.42194	0.5
E532_467	5.6009984	4.329882	0.9375
E713_147	-1.00346	-3.422925	0.29234
E372_474	-3.779882	-8.880648	0.95161
E837_136	6.204453	6.6516695	0.27016
E200_471	-8.721677	4.440184	0.94556
E848_412	-8.56719	6.1622195	0.82661
E867_163	4.087932	4.3034687	0.3246
E359_100	-3.3042111	-7.4026966	0.19758
E997_365	6.172468	5.8176613	0.73185
E459_488	-2.651699	-8.92697	0.97984
E799_247	-2.4001138	-8.785147	0.49395
E698_331	6.4019065	6.8015237	0.66331
E526_65	-2.3078494	-7.0522594	0.12702
E928_161	-3.2185407	-9.744642	0.32056
E621_484	6.635946	5.957835	0.97177
E830_232	-0.95966023	-3.3951387	0.46371
E371_226	-8.639412	5.2042503	0.45161
E135_463	-9.438322	5.7265677	0.92944
E312_199	7.1513033	5.4843	0.39718
E14_61	4.1541243	3.9570043	0.11895
E557_301	-2.4598594	-7.9244204	0.60282
E771_392	-2.4750378	-8.946808	0.78629
E197_327	-7.3118076	5.9780536	0.65524
E722_160	-0.7049925	-3.4560874	0.31855
E216_88	3.860845	2.8676102	0.17339
E191_457	-3.4320495	-7.345847	0.91734
E671_221	5.205765	4.7039557	0.44153
E355_314	5.2270255	4.780864	0.62903
E484_211	-8.511015	5.039009	0.42137
E742_450	-0.60146755	-3.4545226	0.90323
E907_421	-2.9400537	-9.140432	0.84476
E265_451	6.0917115	5.1748195	0.90524
E59_140	-0.2447519	2.3374817	0.27823
E81_464	-8.325275	6.1852818	0.93145
E132_476	5.652718	2.9614453	0.95565
E611_397	4.81114	3.8317776	0.79637
E678_297	5.956895	5.8780704	0.59476
E79_232	-6.8114395	5.0778303	0.46371
E769_111	-1.5227517	-7.84705	0.21976
E279_353	5.4648933	4.9482336	0.70766
E400_255	4.4453554	6.053314	0.51008
E1_437	-2.0907898	-9.625336	0.87702
E951_38	-0.24854882	2.395278	0.07258
E930_223	-6.154281	4.84371	0.44556
E469_338	6.273376	5.4122777	0.67742
E897_87	0.9404368	1.0980555	0.17137
E490_318	5.997368	5.9727783	0.6371
E362_379	-8.223259	5.6399045	0.76008
E981_357	-6.5133176	5.0696516	0.71573
E768_166	-6.8050265	6.0769925	0.33065
E676_98	-1.7511955	-8.872583	0.19355
E384_357	6.8254943	5.4049807	0.71573
E480_372	-2.4509938	-9.998449	0.74597
E392_188	-7.96462	4.988763	0.375
E424_455	-8.2692585	7.053154	0.91331
E913_382	6.632928	3.7339003	0.76613
E23_178	-2.1783338	-7.9265256	0.35484
E373_163	-7.4626126	5.2851	0.3246
E945_123	-3.8703005	-10.0184145	0.24395
E413_161	-2.9008057	-7.0097084	0.32056
E815_208	-7.4172335	4.8889117	0.41532
E327_424	-0.72576636	-3.404224	0.85081
E705_381	-7.5248017	6.1707625	0.76411
E111_252	5.828172	3.385985	0.50403
E813_176	-2.485597	-9.132745	0.35081
E610_257	-0.7874958	-3.3760886	0.51411
E634_68	-1.0262663	2.7512772	0.13306
E283_3	-0.8313128	0.39301446	0.00202
E264_463	-6.525811	4.7514577	0.92944
E800_479	5.19231	5.987098	0.96169
E261_220	5.552473	5.680073	0.43952
E202_15	-0.47188753	0.8204306	0.02621
E414_207	-3.2176754	-9.553623	0.41331
E147_311	5.2850695	5.774596	0.62298
E754_406	-2.9396102	-8.786933	0.81452
E281_288	-4.0034447	-9.38723	0.57661
E95_357	-8.327925	5.155159	0.71573
E538_113	-1.9551139	-2.779778	0.22379
E947_31	0.19685695	1.2841694	0.05847
E504_230	5.401139	4.0689144	0.45968
E102_339	-7.3758965	4.91942	0.67944
E403_394	-8.879505	4.952857	0.79032
E396_279	-3.686682	-8.19877	0.55847
E133_299	4.904509	5.2506294	0.59879
E226_7	-0.551781	0.25731215	0.01008
E478_323	-7.5785656	7.1176996	0.64718
E567_9	-1.113234	0.18792309	0.01411
E937_446	-7.645563	5.4796295	0.89516
E680_253	-0.47363073	-3.5689414	0.50605
E915_270	5.6567445	4.2113295	0.54032
E591_318	5.8141117	3.662455	0.6371
E7_446	-8.572481	4.5417557	0.89516
E618_280	-7.7083974	3.799147	0.56048
E776_262	-3.3956	-8.852521	0.52419
E482_220	-8.757663	4.8880486	0.43952
E443_129	3.611519	3.8628938	0.25605
E363_259	6.1930056	4.9193482	0.51815
E429_491	4.6884117	4.447307	0.98589
E896_436	6.7130566	4.6790295	0.875
E219_188	-6.9925637	5.021059	0.375
E248_234	-8.949983	4.854453	0.46774
E649_137	-2.7847772	-5.144424	0.27218
E809_187	-9.077888	6.0111756	0.37298
E207_141	-1.867167	-7.392845	0.28024
E308_133	-2.5876067	-8.979944	0.26411
E201_394	-2.533472	-8.783775	0.79032
E39_148	-7.978057	6.7076654	0.29435
E489_252	4.119446	5.8426533	0.50403
E520_270	-7.4542184	7.0493207	0.54032
E10_210	7.149565	5.4689946	0.41935
E629_356	7.2964554	5.495726	0.71371
E494_475	7.0593367	4.5887685	0.95363
E743_366	-9.012798	4.905568	0.73387
E143_161	-8.451087	4.833488	0.32056
E736_274	-9.296611	5.1118608	0.54839
E958_48	-7.372047	5.867805	0.09274
E810_49	-1.8730123	-6.850043	0.09476
E390_418	-7.787512	5.0020304	0.83871
E456_40	-2.2526572	2.1220074	0.07661
E726_385	5.456826	6.1807885	0.77218
E619_489	-7.2655835	4.73622	0.98185
E54_44	0.29664642	2.1874528	0.08468
E745_68	-0.9029596	1.0631531	0.13306
E108_274	-0.6156351	-3.5462544	0.54839
E717_43	0.5420729	2.109317	0.08266
E539_446	-4.0693173	-9.130973	0.89516
E137_86	-1.6831764	-3.2489936	0.16935
E545_443	-2.752451	-3.0462422	0.88911
E290_336	-7.5590672	4.923825	0.67339
E496_120	-8.420405	6.494036	0.2379
E672_187	4.958346	5.041616	0.37298
E220_158	6.862066	4.096891	0.31452
E732_16	-0.53188014	0.80237645	0.02823
E252_106	-6.822779	4.7481894	0.20968
E56_8	-1.0363764	0.09007601	0.0121
E660_58	-3.1462884	1.6632804	0.1129
E13_493	5.776991	3.7790778	0.98992
E367_108	-6.960064	5.383556	0.21371
E386_199	-3.0270438	-9.755053	0.39718
E650_353	5.826447	4.8354044	0.70766
E577_456	-3.6537817	-8.940363	0.91532
E77_62	-0.6514851	2.9227788	0.12097
E317_457	6.8188086	4.446598	0.91734
E994_74	0.6906539	2.3661687	0.14516
E502_285	-0.46959013	-3.546464	0.57056
E58_434	4.218915	3.8897798	0.87097
E136_53	3.1799073	3.0811756	0.10282
E88_348	-0.8488135	-3.3992205	0.69758
E908_339	5.7855687	6.084737	0.67944
E620_88	0.9784422	2.167398	0.17339
E859_146	-1.3252007	-7.6379013	0.29032
E849_206	-1.8968023	-8.520231	0.41129
E592_434	-2.826805	-8.812688	0.87097
E868_213	-2.7496138	-3.044233	0.4254
E232_324	-4.167882	-8.476013	0.64919
E541_345	-7.717537	3.658638	0.69153
E42_95	0.2390862	2.2824433	0.1875
E8_48	-1.8275113	-5.6486735	0.09274
E714_182	-1.941433	-2.0928006	0.3629
E315_42	-1.671258	-2.6584253	0.08065
E842_344	-8.072757	4.7762656	0.68952
E756_358	-8.235029	5.896198	0.71774
E151_10	-0.40037802	0.6467913	0.01613
E417_411	6.538604	4.8158703	0.8246
E277_132	-0.82106566	-3.457605	0.2621
E983_482	-3.7128203	-8.7337885	0.96774
E740_479	5.7740517	3.8351448	0.96169
E673_329	5.3417935	4.1771035	0.65927
E100_240	5.82809	5.310127	0.47984
E412_351	-7.411805	4.5859528	0.70363
E263_454	4.2348986	5.178343	0.91129
E560_255	3.459449	4.928684	0.51008
E565_475	5.815366	4.6441445	0.95363
E721_343	6.387481	5.4150567	0.6875
E269_409	-7.6917577	3.9242527	0.82056
E451_110	3.0459132	4.080661	0.21774
E164_27	-1.3592243	-0.25909823	0.0504
E644_242	-3.6635487	-9.095048	0.48387
E288_117	-6.4233437	5.8174415	0.23185
E559_493	-6.8166847	5.1569047	0.98992
E761_338	-3.9356213	-8.034887	0.67742
E118_5	-0.74225414	0.7075629	0.00605
E244_394	4.1121798	4.7808175	0.79032
E397_274	-2.7068346	-3.0293267	0.54839
E104_7	-0.2948961	0.81681114	0.01008
E802_52	-1.3315715	1.4894304	0.10081
E158_390	-6.376484	5.009994	0.78226
E568_154	6.567777	3.5967011	0.30645
E225_118	4.806778	5.536361	0.23387
E992_145	0.6447485	2.2913547	0.28831
E898_335	6.4007053	4.8332224	0.67137
E421_226	-7.3229423	6.221387	0.45161
E943_179	4.4445987	4.3788323	0.35685
E307_162	-6.4313054	6.3810096	0.32258
E302_157	4.125605	5.374776	0.3125
E152_183	-2.3469067	-8.487328	0.36492
E0_427	-7.9896984	6.3222528	0.85685
E600_34	0.30035022	2.2589414	0.06452
E517_447	-3.9809303	-9.788329	0.89718
E254_433	-3.263676	-7.976234	0.86895
E28_403	-0.84112525	-3.4832551	0.80847
E94_441	5.4637756	3.5174205	0.88508
E166_186	6.1712236	3.6127074	0.37097
E706_449	4.649905	5.217219	0.90121
E507_169	6.8918786	4.196873	0.33669
E18_277	-2.9637992	-8.49085	0.55444
E662_361	4.752171	3.7865899	0.72379
E956_412	-1.3717922	-9.5873	0.82661
E603_284	-8.127606	4.973263	0.56855
E6_472	5.5346446	4.022398	0.94758
E669_221	-2.4254444	-9.447276	0.44153
E681_133	-3.088117	-8.365535	0.26411
E422_80	-1.9832469	-4.309008	0.15726
E593_404	-2.725168	-3.0140898	0.81048
E240_55	-10.02783	5.2471595	0.10685
E704_311	-2.595919	-8.317975	0.62298
E787_447	-6.980438	6.5882196	0.89718
E508_25	-1.1534165	0.33694828	0.04637
E206_118	4.404245	4.2452393	0.23387
E675_312	-7.213349	5.7092876	0.625
E339_88	-4.22304	-7.1989617	0.17339
E155_288	-7.735155	4.6483073	0.57661
E385_11	-0.27107814	0.8858057	0.01815
E458_246	-8.012275	6.174216	0.49194
E246_316	-7.2604256	4.6021037	0.63306
E221_186	6.774063	5.470884	0.37097
E996_241	4.932305	5.249002	0.48185
E188_266	-7.478142	6.2925053	0.53226
E854_90	-2.7450676	0.9028307	0.17742
E260_241	-2.743647	-7.7193294	0.48185
E933_331	6.4647627	5.8563476	0.66331
E68_488	-8.334641	4.1082907	0.97984
E249_36	-6.464747	3.1549697	0.06855
E725_366	4.170952	3.684304	0.73387
E847_394	-3.7773838	-9.642139	0.79032
E661_167	-3.444257	-7.927674	0.33266
E74_262	-8.559852	6.667913	0.52419
E259_356	-3.7969408	-8.749816	0.71371
E433_412	-3.485581	-8.808269	0.82661
E514_193	-2.6388698	-9.668547	0.38508
E843_273	-2.6458437	-3.0221052	0.54637
E668_188	-2.2630444	-7.8150067	0.375
E753_400	6.1975465	6.0669546	0.80242
E973_78	-6.725173	6.1009407	0.15323
E553_402	-7.641651	6.411559	0.80645
E803_117	4.442252	4.8799796	0.23185
E697_423	-8.344692	4.3876095	0.84879
E432_60	3.4423778	3.75707	0.11694
E291_141	-1.5759472	-3.3803625	0.28024
E869_241	-9.12441	5.918179	0.48185
E816_49	1.8830209	2.7733452	0.09476
E46_403	-2.5707896	-8.227874	0.80847
E758_6	-0.5783491	0.58477014	0.00806
E296_209	-1.6878407	-8.247416	0.41734
E204_353	-3.2677135	-8.936764	0.70766
E498_236	-2.6369686	-9.165185	0.47177
E884_141	-8.351666	5.4052644	0.28024
E759_314	4.400305	5.004072	0.62903
E380_20	0.48987424	1.2471089	0.03629
E596_118	4.172124	2.77876	0.23387
E319_461	-1.804212	-8.550918	0.9254
E97_187	-8.271968	6.251051	0.37298
E826_75	-1.5764177	-8.172958	0.14718
E475_53	-3.0293603	-6.661874	0.10282
E729_3	-0.5475412	0.32747102	0.00202
E161_381	5.051071	4.986069	0.76411
E790_490	-3.4038782	-8.2757635	0.98387
E656_257	5.7847714	6.3197303	0.51411
E805_417	-0.68140113	-3.518055	0.83669
E796_495	-3.3098676	-8.070224	0.99395
E919_47	-6.7530794	4.164542	0.09073
E711_189	-8.250193	4.866735	0.37702
E585_238	-0.41981894	-3.5586271	0.47581
E425_294	-1.9709786	-9.420326	0.58871
E785_150	5.063086	4.254639	0.29839
E551_92	-1.647827	-1.2858422	0.18145
E93_110	5.293427	5.8133745	0.21774
E692_151	-2.9269881	-10.322152	0.3004
E887_454	-3.1894953	-8.470676	0.91129
E942_409	-2.973385	-9.241923	0.82056
E52_314	5.16545	3.2026129	0.62903
E701_391	-8.402632	6.262967	0.78427
E205_173	5.3775444	5.6644735	0.34476
E69_407	-1.7613087	-2.8988614	0.81653
E607_78	-1.8251663	1.4795313	0.15323
E501_258	-2.8900416	-3.163402	0.51613
