	dim1	dim2	pt
E299_65	3.0812902	-6.507528	0.12753
E673_177	-4.889022	10.25942	0.35425
E477_210	8.457314	-9.992679	0.42105
E890_131	-0.42031068	0.28583658	0.26113
E68_432	-3.1854017	8.981884	0.87045
E621_343	8.559807	-9.28964	0.69028
E434_334	-3.4248667	7.57239	0.67206
E992_58	1.6777301	-6.470519	0.11336
E33_119	2.7937436	-4.0127673	0.23684
E64_65	2.461596	-6.822694	0.12753
E584_341	0.10808629	-0.37320015	0.68623
E445_423	-8.014806	6.593186	0.85223
E144_258	-4.909962	3.685352	0.51822
E180_317	-5.8481736	7.2450786	0.63765
E520_398	9.61267	-10.673617	0.80162
E526_21	2.3930354	-5.768287	0.03846
E201_491	-7.3959827	8.708739	0.98988
E811_46	2.2658477	-5.342837	0.08907
E243_46	1.895607	-5.8835526	0.08907
E581_322	-4.026454	7.634836	0.64777
E416_456	8.20061	-8.467765	0.91903
E994_388	-4.974049	7.6743746	0.78138
E360_314	-6.1887593	10.353567	0.63158
E457_364	9.197938	-9.36891	0.73279
E80_453	-4.2184567	9.330849	0.91296
E228_114	0.37873843	-0.30445832	0.22672
E600_114	7.360577	-9.636598	0.22672
E550_73	3.1338246	-6.123533	0.14372
E721_487	-4.58483	3.6288671	0.98178
E277_379	-5.1562357	8.923627	0.76316
E472_190	-2.1305034	4.6858115	0.38057
E522_466	9.743234	-10.439795	0.93927
E585_337	-3.1849515	6.659544	0.67814
E995_465	-6.8874645	9.22644	0.93725
E474_483	-5.0506186	7.770659	0.97368
E344_358	-4.4772835	9.147186	0.72065
E803_172	0.46611536	-1.0827192	0.34413
E590_356	-3.2787817	5.6728745	0.7166
E515_167	8.883965	-10.173235	0.33401
E469_410	7.8530116	-9.130522	0.82591
E232_46	1.7975799	-6.5925417	0.08907
E241_133	8.022126	-10.587909	0.26518
E746_181	1.1512613	-2.217281	0.36235
E365_401	10.123729	-9.899828	0.80769
E309_94	0.4683454	0.14385554	0.18623
E762_424	-7.175653	4.6596966	0.85425
E217_182	-1.3834183	1.2430047	0.36437
E468_162	7.8386445	-9.275721	0.32389
E827_215	-5.5707884	3.9450567	0.43117
E883_164	-0.3545058	0.8343456	0.32794
E32_123	0.009379445	-0.1844893	0.24494
E449_113	7.177023	-8.455362	0.2247
E901_393	-4.1596045	6.624458	0.7915
E297_401	-6.4582653	8.492129	0.80769
E134_432	-5.1661806	10.168556	0.87045
E502_294	8.586557	-8.792058	0.59109
E837_359	-3.8551269	3.2944076	0.72267
E332_227	9.424049	-8.800381	0.45547
E661_64	1.861238	-6.126681	0.12551
E626_468	9.857589	-9.550061	0.94332
E44_131	8.812809	-9.0031395	0.26113
E676_169	-2.3659105	4.985045	0.33806
