	dim1	dim2	pt
E581_368	0.07686764	-3.0633273	0.46048
E969_571	-0.95410234	-8.234008	0.71518
E788_118	6.1891255	4.4180098	0.1468
E782_178	4.365467	2.951712	0.22208
E560_496	-6.3057995	4.8328567	0.62108
E414_630	-7.6732273	4.8959355	0.78921
E950_359	0.021140313	-5.5331388	0.44918
E933_569	-0.92647225	-8.873349	0.71267
E758_585	-7.4174747	5.824195	0.73275
E701_234	1.7177447	0.5201453	0.29235
E424_240	3.6958935	3.0467446	0.29987
E287_205	1.8773805	1.423362	0.25596
E436_625	-8.433902	5.160268	0.78294
E67_502	0.10484809	-7.933835	0.62861
E562_483	0.86837804	-8.768327	0.60477
E731_257	1.9833382	1.2526484	0.3212
E194_1	9.407872	4.6031733	0.0
E589_174	3.3731549	2.434211	0.21706
E208_169	4.3303246	2.3413014	0.21079
E403_334	-0.7007892	1.608871	0.41782
E810_433	0.21282376	-9.114627	0.54203
E244_197	2.050365	1.1330098	0.24592
E721_58	7.152492	4.679282	0.07152
E419_68	7.138372	4.816699	0.08407
E644_530	-0.04773307	-8.678659	0.66374
E718_193	5.1223645	3.1181402	0.2409
E322_533	-8.44973	5.121721	0.6675
E655_286	2.136659	1.6478213	0.35759
E871_785	-0.17209949	-9.169571	0.98369
E288_458	0.05833734	-9.597843	0.5734
E216_405	0.7165686	-8.026464	0.5069
E484_238	2.2206814	1.8540869	0.29737
E515_51	6.791892	5.295869	0.06274
E854_621	-7.4536996	5.1981716	0.77792
E3_7	9.050593	4.6772866	0.00753
E998_351	0.7571003	1.2495891	0.43915
E908_446	-0.17529684	-9.731561	0.55834
E567_223	3.9116428	2.8648365	0.27854
E821_439	-3.7864225	2.9912887	0.54956
E802_26	8.536329	4.8711843	0.03137
E196_765	-6.340486	4.3894725	0.95859
E823_129	4.342262	3.3334215	0.1606
E96_210	1.1830176	1.2487876	0.26223
E529_401	-0.2137871	-8.776156	0.50188
E719_485	-0.43739107	-9.37338	0.60728
E708_12	8.286567	4.5722704	0.0138
E200_772	0.9723571	-9.660033	0.96738
E71_47	7.243408	5.461559	0.05772
E306_391	-1.8225266	-8.422234	0.48934
E253_499	-8.364521	4.221365	0.62484
E946_365	-2.9835453	2.5437114	0.45671
E611_409	-3.4642498	2.7888186	0.51192
E434_369	-1.4447442	1.8456554	0.46173
E466_569	-1.0536245	-7.783823	0.71267
E143_733	-0.07794419	-9.030736	0.91844
E752_13	8.755721	4.6454377	0.01506
E347_204	6.579606	4.0828247	0.25471
E994_651	-0.40776333	-9.476107	0.81556
E471_595	0.34794933	-9.70747	0.74529
