	dim1	dim2	pt
E992_33	0.2752403	12.714419	0.03774
E904_304	-4.8570833	2.1222534	0.37862
E273_271	-2.5182586	5.6397543	0.33711
E98_173	-1.05047	9.503242	0.21384
E654_125	-1.3292475	8.956849	0.15346
E312_367	0.088482805	3.8424978	0.45786
E632_365	-4.4307184	1.6245916	0.45535
E939_210	-2.319746	6.2783732	0.26038
E945_320	-0.49222624	2.9280822	0.39874
E795_237	-3.0913503	5.8592777	0.29434
E631_192	-2.5533247	6.0521994	0.23774
E944_33	0.27233458	12.341952	0.03774
E659_428	-4.46323	0.42268482	0.53459
E403_256	-3.175517	5.472376	0.31824
E556_412	-4.4918756	1.6452688	0.51447
E920_637	-0.54746324	-6.7485037	0.79748
E471_151	-1.1607509	8.5385895	0.18616
E322_460	-2.7206137	-2.26108	0.57484
E487_412	1.0590808	1.3466432	0.51447
E661_43	0.2975882	12.067241	0.05031
E767_472	0.9912195	1.3259965	0.58994
E889_414	0.8750293	1.3799176	0.51698
E679_213	-0.90961945	8.818338	0.26415
E770_678	0.19937168	-10.089311	0.84906
E647_539	-0.75248146	-5.5119452	0.67421
E803_393	-4.529395	2.2701592	0.49057
E252_423	-4.4669843	0.4022578	0.5283
E843_294	-4.1339326	3.5141492	0.36604
E138_400	-4.659214	0.54675454	0.49937
E996_778	0.17664765	-12.472193	0.97484
E327_735	-0.5548969	-9.655877	0.92075
E730_245	-3.8120582	5.611882	0.3044
E709_330	0.6548322	2.3007686	0.41132
E496_338	-1.9688408	6.4567194	0.42138
E375_607	0.6676889	-9.857122	0.75975
E716_244	-3.838893	4.0291605	0.30314
E589_369	-4.441267	2.1158345	0.46038
E635_493	-0.43709713	-1.8211396	0.61635
E658_222	-2.2851896	8.19637	0.27547
E398_200	-2.4712753	5.9314885	0.2478
E956_656	-0.6057559	-10.451161	0.82138
E439_422	-4.5684576	0.52957773	0.52704
E833_235	-2.4789093	6.5979156	0.29182
E369_456	0.6521666	-0.69720304	0.56981
E999_651	-0.57630527	-6.64317	0.81509
E814_794	-0.54047567	-10.242501	0.99497
E99_625	-0.7446106	-10.243928	0.78239
E915_300	0.4649915	2.8381624	0.37358
E839_144	-1.775706	9.313119	0.17736
E579_773	0.17515163	-11.297663	0.96855
E582_648	0.40431386	-1.0736471	0.81132
E54_570	0.20013338	-1.4607866	0.71321
E628_522	0.46106303	-7.314943	0.65283
E855_353	-4.054879	2.9653854	0.44025
E387_373	-3.621469	2.7710505	0.46541
E537_206	-1.5773785	7.3140416	0.25535
E214_638	-0.25363025	-2.2210343	0.79874
E604_488	0.5946468	1.369626	0.61006
E480_129	-0.76968676	9.117857	0.15849
E180_637	-0.11404724	-6.534941	0.79748
E893_215	-3.9800758	5.316006	0.26667
E69_540	0.6045685	-1.146433	0.67547
E251_386	-0.518301	3.4187477	0.48176
E169_5	-0.1941194	13.765564	0.00252
E887_57	-0.80866915	12.45482	0.06792
E523_362	0.50202364	3.1096058	0.45157
E562_331	-1.3110396	3.0619318	0.41258
E363_211	-2.0937	5.7999887	0.26164
E756_508	-4.7141	1.5309591	0.63522
E952_212	-3.508417	5.971169	0.26289
E105_775	1.0326583	-11.947199	0.97107
E59_221	-1.1186237	8.605521	0.27421
E906_626	0.16986826	-9.811511	0.78365
E402_484	-2.1752942	-2.274804	0.60503
E615_211	-1.9856806	6.509721	0.26164
E982_620	0.79108244	1.5481129	0.7761
E27_733	0.2072391	-11.52222	0.91824
E85_140	-0.9736318	9.863085	0.17233
E511_13	-0.50597644	13.360479	0.01258
E710_409	0.34270325	3.4502459	0.51069
E374_67	-0.33037856	12.860828	0.0805
E234_678	-0.3056236	-10.288095	0.84906
E873_322	-3.5223033	2.5987527	0.40126
E724_662	-0.2952429	-9.350885	0.82893
E805_46	0.25708693	13.200323	0.05409
E247_514	-0.4172865	-6.561775	0.64277
E192_423	0.5825986	2.569694	0.5283
E142_364	-4.544034	1.8142326	0.45409
E156_272	-4.5785155	2.6056814	0.33836
E450_322	-2.1647272	4.8785396	0.40126
E907_702	-0.018671075	-9.98697	0.87925
E479_712	0.20929125	-10.751266	0.89182
E293_614	-0.89321905	-6.1822395	0.76855
E984_554	-0.0879553	-7.126909	0.69308
E656_621	-0.10808288	-10.244161	0.77736
E52_68	-0.058463585	12.560168	0.08176
E953_132	-0.44245845	10.545618	0.16226
E263_106	-0.18652984	12.271991	0.12956
E550_769	1.2559743	-11.85484	0.96352
E782_331	-4.3255296	-0.35642508	0.41258
E181_181	-1.2023128	8.995923	0.2239
E830_376	0.28304824	3.3183198	0.46918
E685_52	0.2073809	13.2051935	0.06164
E649_665	0.4759429	-9.368817	0.8327
E376_187	-0.42604834	8.507454	0.23145
E2_729	-1.0238197	-9.840204	0.91321
E320_137	-0.7242725	9.053303	0.16855
E288_481	0.5533717	-0.5755541	0.60126
E18_301	-4.528395	2.1712098	0.37484
E43_223	-1.9714626	8.905109	0.27673
E259_214	-3.1664903	4.935492	0.26541
E255_628	-0.2921111	-10.89461	0.78616
E739_128	-1.1211643	9.76934	0.15723
E793_631	-2.1455553	-2.764889	0.78994
E657_154	-0.8969988	9.621381	0.18994
E36_754	0.5321928	-12.492469	0.94465
E933_48	0.41180807	12.702262	0.0566
E349_662	-0.5058895	-6.7730355	0.82893
E962_473	0.05971532	-1.7873741	0.59119
E131_235	-3.931737	5.8995843	0.29182
E164_697	-0.16472371	-8.837945	0.87296
E31_598	-0.29100543	-6.9193606	0.74843
E414_767	0.4788966	-9.484521	0.96101
E237_647	-0.4355461	-5.9515038	0.81006
E541_256	-3.8059626	5.699596	0.31824
E430_457	-2.5536492	-1.8128695	0.57107
E324_218	-1.2790992	8.655518	0.27044
E900_35	-0.53879625	12.790407	0.04025
E513_123	-1.0335072	8.921722	0.15094
E725_170	-1.5555081	7.4252563	0.21006
E539_378	0.96281135	1.9644536	0.4717
E230_238	-3.5147712	5.040996	0.2956
E595_60	-1.0348823	12.202477	0.0717
E546_428	0.25611112	3.6228654	0.53459
E624_792	1.0377231	-11.852493	0.99245
E122_553	-4.351645	2.005969	0.69182
E13_170	-0.3609485	10.156778	0.21006
E400_612	-0.35342515	-6.725771	0.76604
E594_469	-4.039541	-0.24187756	0.58616
E929_32	0.53915745	12.055019	0.03648
E3_463	-2.4532032	-2.788882	0.57862
E752_192	-1.9821962	7.982917	0.23774
E372_410	0.9821527	1.8237908	0.51195
E991_37	-0.70518076	12.989579	0.04277
E667_550	0.50441104	-0.93978703	0.68805
E454_280	-0.07301437	3.9065316	0.34843
E413_493	0.2873402	-1.370518	0.61635
E227_620	-0.76068884	-7.3224616	0.7761
E70_733	0.49058366	-9.711088	0.91824
E17_30	-0.53299254	12.288553	0.03396
E53_787	0.53232586	-12.473816	0.98616
E406_465	0.8920781	1.0978972	0.58113
