	dim1	dim2	pt
E1996_33	1.9783249	7.91661	0.03894
E333_468	4.923949	-5.106724	0.58543
E1862_426	3.0980985	-3.509735	0.53266
E978_287	1.3712205	4.209533	0.35804
E963_747	6.361388	-7.678851	0.93593
E1470_3	1.6482173	8.420367	0.00126
E878_245	-0.3731635	-0.8312498	0.30528
E1374_179	0.59920555	1.5535951	0.22236
E777_791	7.4288845	-5.9934125	0.99121
E823_778	-8.970757	-3.154542	0.97487
E1103_110	1.7983216	5.026125	0.13568
E1063_615	-8.894489	-3.7191927	0.7701
E1481_188	0.6072077	0.38537255	0.23367
E968_787	7.031645	-6.758685	0.98618
E47_791	5.6495533	-8.167226	0.99121
E551_789	5.725722	-7.58411	0.98869
E793_335	-0.14010163	0.36032215	0.41834
E172_423	4.954782	-5.620117	0.52889
E1379_768	-9.639673	-3.2080505	0.96231
E792_7	1.6465172	8.268001	0.00628
E1288_319	0.39741534	1.2176468	0.39824
E1177_486	7.571487	-5.563543	0.60804
E1511_289	2.2500663	-2.6842132	0.36055
E1593_343	0.8319582	-1.8153459	0.42839
E1884_251	-0.004792372	-1.3017485	0.31281
E1136_682	-8.747604	-3.9833124	0.85427
E759_487	5.4652348	-7.8251295	0.6093
E1737_413	-1.9036593	-1.370033	0.51633
E931_406	2.967116	-3.3716934	0.50754
E1407_723	6.858402	-7.01757	0.90578
E110_267	0.13612995	1.4376043	0.33291
E247_165	1.4720871	3.6056087	0.20477
E1982_46	2.4324288	7.377459	0.05528
E712_714	6.5516	-7.336271	0.89447
E1879_103	2.5376868	7.086873	0.12688
E1761_332	-1.6852312	-1.428557	0.41457
E1669_407	-5.398328	-2.3096685	0.50879
E1334_745	6.8108883	-6.158664	0.93342
E838_94	2.7972486	6.0881457	0.11558
E5_677	6.2431183	-7.111459	0.84799
E1832_89	1.8693495	5.9975767	0.1093
E829_689	6.9866304	-6.822112	0.86307
E1017_722	-9.816017	-2.5193126	0.90452
E923_693	6.560987	-6.5269547	0.86809
E800_401	-2.9931202	-1.3555766	0.50126
E1951_179	0.5795988	1.2480639	0.22236
E650_405	3.2915273	-3.712124	0.50628
E1169_398	3.8808477	-4.250996	0.49749
E232_39	2.550555	6.8760295	0.04648
E392_406	3.1266575	-3.534241	0.50754
E723_524	-9.631377	-3.552449	0.65578
E521_739	-9.579917	-3.3183234	0.92588
E1548_435	7.0616217	-6.7263966	0.54397
E226_798	1.9756072	6.554012	1.0
E1642_537	-9.449758	-2.1848671	0.67211
E1960_351	3.8603013	-4.1457276	0.43844
E1893_182	1.5106478	3.9387398	0.22613
E1667_534	5.4106092	-8.149993	0.66834
E1367_114	1.4488455	6.343902	0.1407
E162_666	6.9842362	-5.8905425	0.83417
E1266_551	6.3474402	-7.9723587	0.6897
E179_571	7.3640275	-6.119267	0.71482
E377_316	-1.230897	-0.808725	0.39447
E143_689	-8.747449	-3.2920752	0.86307
E1966_500	-5.115206	-2.2385843	0.62563
E818_593	7.092967	-6.721545	0.74246
E1543_234	-0.582347	0.52085096	0.29146
E479_735	-9.725275	-2.461941	0.92085
E1312_669	-9.662018	-2.9919455	0.83794
E1534_77	3.1236598	6.296074	0.09422
E576_215	0.12724964	0.962995	0.26759
E1062_543	7.2374516	-5.734861	0.67965
E1285_767	6.448622	-7.465144	0.96106
E1234_352	2.7551098	-3.192366	0.4397
E1417_381	2.5944264	-2.9661553	0.47613
E1270_683	-9.642964	-2.1206274	0.85553
E755_479	-9.382831	-2.942377	0.59925
E1326_537	-5.827978	-2.4544935	0.67211
E165_398	-4.8367915	-2.1766996	0.49749
E1995_515	4.323544	-4.6432023	0.64447
E1740_589	-9.642567	-2.3390508	0.73744
E1743_295	1.7796988	-2.1981688	0.36809
E1717_153	1.8139952	4.4852514	0.1897
E655_331	2.1062934	-2.4930909	0.41332
E46_444	-7.993699	-3.3142843	0.55528
E353_152	2.1586273	4.105568	0.18844
E1065_70	3.166133	6.2617626	0.08543
E252_365	3.4977546	-3.8977847	0.45603
E476_11	1.9340771	7.8906646	0.01131
E1403_458	-5.237603	-2.2780228	0.57286
E752_688	7.4041657	-5.822598	0.86181
E306_531	6.547545	-7.417271	0.66457
E69_556	-8.894243	-4.8675604	0.69598
E1629_450	-8.553436	-4.4570932	0.56281
E300_569	-9.5903	-3.6098692	0.71231
E1651_317	-1.5694182	-1.3468336	0.39573
E1692_9	1.7180773	8.280837	0.00879
E599_83	1.40593	5.147927	0.10176
E837_323	-1.8062744	-1.2997533	0.40327
E292_711	6.4649854	-6.4644475	0.8907
E374_121	2.471349	6.7582493	0.1495
E1584_426	-4.537069	-2.0359726	0.53266
E399_463	-5.606831	-2.379439	0.57915
E1610_81	2.7658064	6.542786	0.09925
E1762_257	-0.68053925	0.363976	0.32035
E454_771	-9.26878	-4.342485	0.96608
E741_485	6.045388	-6.424797	0.60678
E516_473	6.3365855	-7.7072053	0.59171
E612_705	-9.192492	-4.377481	0.88317
E843_590	7.2931046	-6.0642548	0.73869
E495_78	2.325907	6.8103166	0.09548
E1378_57	3.0748742	6.503537	0.0691
E1971_220	0.2530878	0.47248447	0.27387
E1735_321	-1.8251718	-1.3362968	0.40075
E834_55	2.5574272	6.88268	0.06658
E1581_733	-9.707894	-2.410005	0.91834
E1001_3	1.6346396	8.422597	0.00126
E1616_767	-8.980348	-2.7269354	0.96106
E124_154	1.5454521	5.086052	0.19095
E432_661	7.128415	-6.589596	0.82789
E876_156	1.3795708	4.3789268	0.19347
E1236_459	6.1253996	-8.050238	0.57412
E1350_185	1.5602734	4.3242884	0.2299
E1774_224	0.11331161	0.47025183	0.27889
E865_52	2.1090806	7.457307	0.06281
E1701_284	-0.86155653	-0.595497	0.35427
E613_764	6.4486065	-7.3663006	0.95729
E1860_136	1.7174436	5.962718	0.16834
E917_762	-9.797941	-2.5957859	0.95477
E984_353	-4.569014	-2.0745695	0.44095
E507_665	5.594731	-7.61821	0.83291
E1131_546	5.358594	-8.152938	0.68342
E1835_264	0.8488122	0.4402375	0.32915
E616_294	0.22020404	0.97406596	0.36683
E345_613	-9.787245	-2.7841654	0.76759
E557_252	-1.2554855	-0.95795226	0.31407
E1904_333	-0.5422272	-0.11803237	0.41583
E22_38	2.3346517	7.5866375	0.04523
E912_495	-8.792944	-2.9335773	0.61935
E438_431	6.980216	-6.838204	0.53894
E275_416	-4.758462	-2.1632726	0.5201
E1597_667	7.3240657	-6.1297994	0.83543
E1212_43	2.8882542	6.8238344	0.05151
E1922_728	6.872605	-6.2190123	0.91206
E1556_111	1.9806774	5.4328537	0.13693
E382_629	-8.832776	-3.7541175	0.78769
E1889_596	-8.987141	-2.421845	0.74623
E1030_24	2.3261125	7.50977	0.02764
E1380_366	1.7229763	-2.108235	0.45729
E211_788	6.0378847	-7.0803895	0.98744
E833_525	-8.826018	-3.8677225	0.65704
E1353_240	-0.5987372	1.1421868	0.29899
E1275_236	-0.2888439	0.961581	0.29397
E43_602	-9.030892	-3.833748	0.75377
E1195_578	5.9368753	-7.3961115	0.72362
E267_558	6.3451967	-7.735686	0.69849
E164_132	2.0681753	4.421145	0.16332
E1839_242	0.50188565	1.1937817	0.30151
E1345_109	1.7649089	7.199974	0.13442
E191_240	0.1398423	0.79063964	0.29899
E361_763	7.2439756	-6.0771217	0.95603
E1076_779	5.8038316	-7.411178	0.97613
E1057_666	-9.459156	-3.5402887	0.83417
E411_529	7.8791895	-5.4068985	0.66206
E649_528	6.63892	-6.895598	0.6608
E445_134	2.6242309	6.313995	0.16583
E1394_387	-5.5096054	-2.3461862	0.48367
E910_460	-8.514884	-3.9560032	0.57538
E107_537	6.7997675	-6.0885706	0.67211
E1070_411	5.9940753	-6.043632	0.51382
E1008_137	2.1418316	6.679387	0.1696
E427_627	6.7499695	-6.2416086	0.78518
E676_186	0.55637103	0.8753127	0.23116
E1635_153	1.0361971	1.5135003	0.1897
E1631_174	1.3318805	4.0832925	0.21608
E1029_796	-8.820942	-3.4972107	0.99749
E1349_206	-0.45926714	1.1296676	0.25628
E1101_693	6.5548697	-6.689277	0.86809
E644_50	2.2514956	7.210024	0.0603
E703_284	-1.3662001	-1.4247264	0.35427
E108_537	5.750848	-7.3532352	0.67211
E1487_786	6.957441	-5.626543	0.98492
E734_61	2.7467232	6.6516604	0.07412
E1937_287	-0.33366913	0.419969	0.35804
E148_625	-8.893796	-3.6156998	0.78266
E1094_110	1.8684163	5.873261	0.13568
E1466_578	6.149014	-8.019034	0.72362
E1375_626	6.6518903	-6.280806	0.78392
E1565_483	4.084092	-4.5578914	0.60427
E1014_778	5.802235	-7.4797235	0.97487
E581_370	2.0744715	-2.5189354	0.46231
E380_174	1.8595753	5.0753937	0.21608
E1921_464	5.646664	-6.5378327	0.5804
E1396_509	5.038101	-5.046812	0.63693
E0_291	1.2932091	-1.3706679	0.36307
E461_6	1.7876521	8.12723	0.00503
E1496_688	6.2065034	-7.916278	0.86181
E1852_674	6.875823	-7.0111732	0.84422
E1664_256	-0.44948122	-0.17664857	0.3191
E1462_313	-0.65065205	-0.56837606	0.3907
E1537_387	-3.0159235	-1.3504869	0.48367
E330_789	-9.2268505	-2.355403	0.98869
E716_629	6.7237387	-5.614191	0.78769
E1397_315	2.7499244	-3.1720498	0.39322
E1931_432	-5.5166965	-2.290445	0.5402
E1127_175	0.3146912	1.1815336	0.21734
E1500_49	2.2500365	7.303424	0.05905
E233_259	0.57325333	-1.8285238	0.32286
E586_177	1.2584162	3.9252815	0.21985
E1033_563	6.577371	-6.290963	0.70477
E1768_674	-9.223614	-2.9272974	0.84422
E1202_126	2.5652323	6.916465	0.15578
E317_206	0.08397776	0.9770032	0.25628
E1303_666	-9.538029	-3.833223	0.83417
E1532_302	0.19750832	1.8428719	0.37688
E1770_188	0.17264077	0.28378314	0.23367
E121_107	1.7199636	7.1779447	0.13191
E1634_125	1.8997871	6.9984965	0.15452
E437_271	-0.30898774	0.011020614	0.33794
E1755_185	1.3213131	3.4512184	0.2299
E1_620	-9.069688	-3.7194917	0.77638
E1858_508	6.9009295	-6.933216	0.63568
E1947_104	1.5503641	5.236683	0.12814
E1930_32	2.203654	7.589488	0.03769
E447_488	5.795941	-7.2232428	0.61055
E1465_350	2.3393483	-2.755429	0.43719
E236_384	1.8465666	-2.2694893	0.4799
E370_596	5.901637	-7.366112	0.74623
E1837_81	2.8713555	6.710003	0.09925
E1842_374	1.7130928	-1.9331449	0.46734
E1482_255	1.5224702	4.198926	0.31784
E1674_85	3.3009043	6.288095	0.10427
E855_310	1.966404	-2.332945	0.38693
E618_532	6.1586065	-6.954186	0.66583
E135_285	-1.3157564	-0.8918898	0.35553
E1816_333	3.8381717	-4.2914233	0.41583
E1856_686	5.912894	-7.167852	0.8593
