	dim1	dim2	pt
E576_610	8.210364	-9.726323	0.61106
E59_476	-3.1489995	3.9765558	0.47638
E909_499	3.4827917	-7.3269095	0.4995
E597_515	6.5637007	-8.473577	0.51558
E856_980	7.8642526	19.00846	0.98291
E735_381	-5.345605	1.5702403	0.3809
E901_623	1.0842007	12.176245	0.62412
E661_752	15.533984	-11.569951	0.75377
E656_769	12.960893	-10.431106	0.77085
E314_395	-3.304296	3.7694502	0.39497
E88_270	-2.8394547	-5.0354447	0.26935
E392_561	1.3857433	10.20883	0.56181
E791_684	10.168409	-10.226099	0.68543
E840_524	4.6869454	-8.082301	0.52462
E750_428	-3.6928551	2.6681178	0.42814
E185_105	-14.762954	-6.0672226	0.10352
E985_35	-19.558346	-7.999785	0.03317
E208_885	13.650978	-11.334323	0.88744
E220_57	-17.553593	-7.470215	0.05528
E406_30	-19.371563	-7.980446	0.02814
E589_673	5.1524773	14.9089775	0.67437
E714_619	1.2404966	10.495092	0.6201
E241_234	-12.780588	-5.4217076	0.23317
E655_148	-13.3612	-5.9457293	0.14673
E763_545	6.4057612	-9.032855	0.54573
E829_532	-1.2153792	7.9568067	0.53266
E843_497	-1.63148	7.17437	0.49749
E618_828	5.8780813	15.709483	0.83015
E912_241	-5.2950153	0.80615604	0.2402
E980_590	0.5494558	10.953556	0.59095
E790_701	3.128287	14.018309	0.70251
E866_518	-1.1719837	7.780149	0.51859
E928_80	-17.600466	-7.160054	0.07839
E235_210	-6.2682757	-4.568182	0.20905
E779_383	-1.4305053	-5.6660037	0.38291
E897_870	8.4225	18.876537	0.87236
E343_325	-1.3371065	-4.754682	0.32462
E630_326	0.010125052	-5.897532	0.32563
E885_394	-4.4273205	1.5912057	0.39397
E761_239	-6.6843934	-4.360397	0.23819
E104_909	8.475617	18.225342	0.91156
E115_239	-6.525962	-3.9473104	0.23819
E252_379	2.1865385	-7.313971	0.37889
E491_276	-7.417418	-3.693334	0.27538
E151_997	8.760265	18.486303	1.0
E419_574	5.2821097	-8.6179495	0.57487
E568_309	-2.2053692	-5.422916	0.30854
E818_601	-0.43376583	9.447038	0.60201
E372_210	-8.60102	-4.45099	0.20905
E191_920	8.522248	18.333122	0.92261
E716_685	1.1183251	10.914517	0.68643
E337_956	5.6106133	15.852345	0.95879
E805_481	-3.2908328	5.72699	0.48141
E636_470	-1.6112566	6.220909	0.47035
E217_482	-0.9271795	8.578066	0.48241
E862_525	-0.8014766	9.8813	0.52563
E130_34	-18.913788	-8.4027405	0.03216
E724_244	-13.421535	-5.0568905	0.24322
E140_738	10.89209	-10.661133	0.7397
E229_394	-4.6164584	2.0931346	0.39397
E566_361	-5.1598916	-0.34079388	0.3608
E148_875	5.011801	16.184374	0.87739
E393_913	16.633266	-11.339275	0.91558
E900_11	-19.636768	-8.579097	0.00905
E533_666	5.7452474	17.095938	0.66734
E638_609	0.5573792	10.696134	0.61005
E920_414	0.6994697	-7.2147775	0.41407
E101_923	13.779941	-10.821505	0.92563
E37_322	-4.96182	0.59575444	0.32161
E707_856	5.6954446	15.424156	0.85829
E640_269	-1.6733054	-5.4583464	0.26834
E149_320	-6.5722895	-4.9770565	0.3196
E3_618	-1.3892293	7.6657696	0.6191
E551_314	-0.98180854	-6.1155224	0.31357
E611_749	7.650112	-9.091218	0.75075
E388_232	-11.9693165	-5.95231	0.23116
E766_490	3.865079	-7.463276	0.49045
E181_643	7.282305	-9.424686	0.64422
E47_445	-0.792754	8.560023	0.44523
E870_503	-0.79451877	9.079534	0.50352
E230_530	-1.7200935	9.855197	0.53065
E236_577	-0.5098707	8.65599	0.57789
E114_380	-3.6658638	3.2832568	0.3799
E708_343	-2.826826	2.513353	0.34271
E56_509	2.7466059	-7.427468	0.50955
E997_60	-17.320282	-7.5692964	0.05829
E767_541	1.4902828	11.204599	0.54171
E407_551	-1.2595061	9.352777	0.55176
E890_147	-14.219053	-6.013902	0.14573
E247_650	12.926689	-10.924245	0.65126
E71_358	1.526908	-6.901222	0.35779
E548_388	-3.6737604	3.6737297	0.38794
E90_157	-14.693147	-5.7484083	0.15578
E814_786	2.6410427	12.770006	0.78794
E639_568	-1.606956	8.722049	0.56884
E803_623	8.14285	-9.324497	0.62412
E397_901	8.155613	18.24889	0.90352
E180_67	-18.602453	-7.4627256	0.06533
E74_765	3.17533	13.477864	0.76683
E395_11	-19.590218	-7.471823	0.00905
E368_880	7.6648035	17.935017	0.88241
E748_596	1.7818304	-7.3295064	0.59698
E170_598	5.0467296	-8.623017	0.59899
E859_639	8.919338	-9.204582	0.6402
