	dim1	dim2	pt
E738_535	-6.0198565	0.16357575	0.6716981132075471
E965_270	3.918726	-6.447359	0.3383647798742138
E672_730	6.195707	3.2698987	0.9169811320754716
E664_253	4.491716	-5.9698243	0.3169811320754717
E74_211	5.901847	-3.8379815	0.2641509433962264
E697_741	2.0413213	5.005022	0.9308176100628932
E183_497	-3.801646	1.9711323	0.6238993710691824
E123_55	4.22832	2.5178642	0.0679245283018867
E333_415	-2.3556871	-6.457789	0.5207547169811321
E833_709	-3.4328077	2.308001	0.8905660377358491
E624_573	-5.1935096	1.8688965	0.7194968553459119
E674_401	-4.688114	-5.229994	0.5031446540880503
E138_601	-5.5265856	-2.3204772	0.7547169811320755
E362_316	-3.0197697	-5.6542726	0.3962264150943396
E759_542	-4.958704	1.0872775	0.680503144654088
E690_471	-5.6396866	-1.5756387	0.5911949685534591
E669_299	3.0976691	-7.1590405	0.3748427672955974
E104_441	-5.04405	-4.220397	0.5534591194968553
E226_1	0.26945826	3.698056	0.0
E411_605	2.2449703	5.2490416	0.759748427672956
E243_116	5.4594684	-1.3499722	0.1446540880503144
E431_580	-5.895723	-0.76646054	0.7283018867924528
E137_202	5.92404	0.1296726	0.2528301886792453
E870_630	-2.3353474	4.0911555	0.7911949685534592
E481_115	5.6755934	-1.4803619	0.1433962264150943
E893_537	-5.371681	1.1527178	0.6742138364779874
E897_282	6.051765	-4.682675	0.3534591194968553
E228_310	-2.1847286	-5.922094	0.3886792452830189
E680_110	5.995915	0.6473608	0.1371069182389937
E908_430	-5.5294633	-1.0569333	0.539622641509434
E334_265	5.3154893	-3.7518034	0.3320754716981132
E770_68	3.3861346	4.6086426	0.0842767295597484
E665_315	1.8131602	-6.2996173	0.3949685534591195
E394_372	-1.7924229	-6.408668	0.4666666666666667
E876_629	3.6891913	5.425569	0.789937106918239
E854_106	5.8915334	-0.8431945	0.1320754716981132
E63_474	-6.049026	-0.31106028	0.5949685534591195
E949_329	-5.3661795	-4.5845447	0.4125786163522013
E596_459	-3.899107	-5.5567093	0.5761006289308176
E200_359	-2.280732	-6.4488864	0.450314465408805
E14_526	-2.3808818	3.6572194	0.660377358490566
E698_111	5.8384376	-0.36403987	0.1383647798742138
E496_295	-2.555511	-6.312056	0.3698113207547169
E443_587	-4.6250744	2.85264	0.7371069182389937
E131_695	-1.4699324	4.934695	0.8729559748427673
E297_54	2.2720907	2.6280122	0.0666666666666666
E913_563	-5.9768667	-1.213452	0.7069182389937106
