	dim1	dim2	pt
E322_251	-3.5880196	0.3939421	0.5020161290322581
E104_358	-10.717194	-1.207021	0.717741935483871
E652_311	-0.8266726	1.289565	0.6229838709677419
E779_215	4.3028626	0.7185118	0.4294354838709677
E391_335	-2.6516519	1.4447503	0.6713709677419355
E342_307	-5.987499	0.22378346	0.6149193548387096
E392_153	4.771445	0.88879067	0.3044354838709677
E784_156	5.718599	-0.21637198	0.3104838709677419
E215_154	6.2005706	-0.23547342	0.3064516129032258
E192_400	-9.923832	-0.9772513	0.8024193548387096
E190_469	-13.224288	-1.4728254	0.941532258064516
E62_345	-5.5818067	-0.13197972	0.6915322580645161
E712_220	-0.4681305	1.234506	0.439516129032258
E87_213	5.6416187	0.8035178	0.4254032258064516
E610_177	0.5673428	-0.08526634	0.3528225806451613
E132_349	-7.2263546	-1.5732012	0.6995967741935484
E80_22	13.234048	0.9255241	0.0403225806451612
E171_189	-1.7344891	1.3479241	0.377016129032258
E917_348	-4.1757545	-1.171865	0.6975806451612904
E527_177	-0.4507214	0.09485007	0.3528225806451613
E404_60	11.093015	0.52772635	0.1169354838709677
E368_406	-10.901636	-1.3352151	0.8145161290322581
E766_387	-9.281628	-0.5012184	0.7762096774193549
E606_282	-2.3170638	0.66035706	0.5645161290322581
E425_385	-7.976574	-1.2301039	0.7721774193548387
E822_319	-0.09139453	0.7812433	0.6391129032258065
E706_457	-11.881573	-1.914495	0.9173387096774194
E202_277	-1.0324064	0.19265515	0.5544354838709677
E872_240	-1.2765299	0.03254631	0.4798387096774194
E547_295	-2.7421758	-0.30670622	0.5907258064516129
E853_120	11.503001	-0.32655087	0.2379032258064516
E354_436	-13.526054	-2.0195017	0.875
E717_23	12.710571	1.4081144	0.0423387096774193
E36_16	12.080673	1.2466168	0.0282258064516129
E285_32	12.816478	0.5927985	0.0604838709677419
E337_73	9.593054	1.3912815	0.1431451612903226
E886_74	11.15697	0.5593475	0.1451612903225806
E658_299	-6.114965	-0.8364435	0.5987903225806451
E546_141	7.727283	1.073572	0.2802419354838709
E52_226	-0.28836873	0.61836404	0.4516129032258064
E628_404	-11.19027	-0.44341978	0.8104838709677419
E234_324	-6.6880784	0.27485055	0.6491935483870968
E536_393	-11.013759	-1.1091715	0.7883064516129032
E935_284	-4.964154	-1.107397	0.5685483870967742
E165_178	-0.77911174	0.6143094	0.3548387096774194
E229_431	-6.8731117	-1.0101864	0.8649193548387096
E116_45	12.665142	0.97535187	0.0866935483870967
E686_124	5.8637247	1.1943235	0.2459677419354838
E522_23	11.329232	1.2118778	0.0423387096774193
E55_485	-10.546291	-0.23109162	0.9737903225806452
E96_62	10.545539	1.5114001	0.1209677419354838
E51_370	-6.4136677	-0.20489444	0.7419354838709677
E124_468	-8.866759	-0.3535069	0.939516129032258
E160_423	-10.028277	-1.53696	0.8487903225806451
E236_100	9.844257	0.44916114	0.1975806451612903
E477_387	-8.415198	-0.62072146	0.7762096774193549
E560_406	-6.5859365	-0.33648497	0.8145161290322581
E977_100	9.263714	1.3775749	0.1975806451612903
E152_431	-10.387062	-0.5382226	0.8649193548387096
E918_217	0.51471245	0.75684273	0.4334677419354839
E395_208	-0.0813877	0.15897395	0.4153225806451613
E949_267	-2.0545523	0.86116695	0.5342741935483871
E730_193	1.4085525	0.2718557	0.3850806451612903
E470_189	-1.2287538	0.56540346	0.377016129032258
E687_450	-12.1565895	-2.1588676	0.9032258064516128
E682_456	-12.929572	-1.8054123	0.9153225806451613
E919_13	12.946113	1.1160951	0.0221774193548387
E616_428	-10.358276	-1.633656	0.8588709677419355
E48_169	3.3271604	0.43300822	0.3366935483870967
E588_57	12.4339485	0.05743	0.1108870967741935
E308_97	10.553985	0.5635874	0.1915322580645161
E4_475	-10.937568	-0.96319085	0.9536290322580644
E489_489	-10.041474	-0.7775423	0.9818548387096774
E5_162	6.0422134	0.091946445	0.3225806451612903
E694_221	-1.7817194	1.6585921	0.4415322580645161
E812_405	-8.9450655	-1.5258588	0.8125
E899_56	11.569206	-0.40459684	0.1088709677419354
E113_18	13.083421	0.19258112	0.032258064516129
E505_462	-10.573439	-0.82088405	0.9274193548387096
E271_180	3.8501816	0.059176758	0.3588709677419355
E836_85	8.639444	0.7342882	0.1673387096774193
