	dim1	dim2	pt
E633_505	0.34063116	5.396597	0.3366733466933868
E414_681	0.37139842	1.7591171	0.4542418169672678
E224_888	-2.375881	-6.009022	0.5925183700734803
E577_1407	-4.6567116	-14.277683	0.9392117568470274
E11_262	1.7542434	10.41558	0.1743486973947896
E931_15	1.507929	13.846573	0.0093520374081496
E715_1467	-3.6102912	-15.131506	0.9792919171676688
E883_1419	-4.6674647	-15.172141	0.9472277889111556
E195_257	1.2648699	7.892455	0.1710086840347361
E144_253	2.2550955	9.773035	0.1683366733466934
E299_395	1.6542009	9.375886	0.2631930527722111
E288_411	0.7404793	6.2481265	0.2738810955243821
E991_286	2.5062256	9.902524	0.1903807615230461
E297_169	1.9704539	11.512103	0.1122244488977955
E701_12	1.2410871	13.829638	0.0073480293921175
E822_424	1.0548654	5.7368073	0.282565130260521
E797_528	0.6095847	4.026194	0.3520374081496326
E653_886	-2.6014488	-7.304542	0.591182364729459
E328_234	2.0526037	10.522965	0.1556446225784903
E78_863	-1.343722	-2.536607	0.575818303273213
E775_1331	-4.5014653	-12.849195	0.8884435537742151
E207_1392	-3.8139155	-15.643513	0.9291917167668672
E648_14	1.6670431	14.211165	0.0086840347361389
E409_683	-0.71994627	-1.8243352	0.4555778223112892
E634_1312	-2.9332576	-11.125133	0.875751503006012
E708_1130	-3.8090482	-11.254547	0.7541750167000668
E748_599	-0.13276108	2.786002	0.3994655978623914
E415_1440	-4.3254323	-14.03604	0.96125584502338
E725_403	0.7714143	4.317581	0.2685370741482966
E71_640	0.5421449	3.5812304	0.4268537074148296
E122_330	1.3794463	8.064133	0.2197728790915163
E52_362	0.88807774	8.206068	0.2411489645958583
E812_386	0.8676806	6.710259	0.2571810287241149
E640_920	-1.8306041	-6.054674	0.6138944555778223
E359_390	1.6077837	8.770296	0.2598530394121576
E597_944	-1.4965222	-5.0591063	0.6299265197060788
E590_593	0.4505685	3.9263613	0.3954575818303273
E61_560	0.61461383	4.3572283	0.3734134936539746
E438_1299	-3.9878845	-13.008843	0.8670674682698731
E1_479	0.96826565	5.4669156	0.3193052772211089
E677_204	1.6529831	10.294889	0.1356045424181696
E785_187	1.8324797	10.578488	0.1242484969939879
E624_1120	-2.4795175	-9.858661	0.7474949899799599
E0_1337	-4.206724	-11.613909	0.8924515698062793
E248_491	0.77367264	4.09621	0.3273213092852371
E684_470	0.8064448	5.6073484	0.3132932531730127
E595_251	2.031728	10.080925	0.167000668002672
E628_766	-0.6864213	-3.0899994	0.5110220440881763
E990_288	2.0655415	9.464745	0.1917167668670674
E854_167	2.0997317	11.961737	0.1108884435537742
E296_1145	-3.1157715	-7.463249	0.7641950567802271
E746_1186	-3.8675034	-11.989731	0.7915831663326653
E759_1344	-4.4886327	-11.969673	0.897127588510354
E383_767	-2.018676	-3.0057855	0.511690046760187
E532_358	1.6769336	8.088481	0.2384769539078156
E96_722	-0.33866683	-0.007237547	0.4816299265197061
E83_831	-2.021448	-4.529543	0.554442217768871
E190_797	-0.8347462	0.2477116	0.5317301269205077
E619_729	0.03602439	1.9769871	0.4863059452237809
E807_273	1.8185492	9.061564	0.1816967267869071
E106_64	2.0425563	14.104672	0.0420841683366733
E705_1308	-3.8150969	-13.363887	0.8730794923179692
E400_1059	-2.6579413	-9.687092	0.706746826987308
E643_163	2.3981848	11.861753	0.1082164328657314
E665_1042	-2.4714234	-8.389703	0.6953907815631263
E333_1105	-3.6190405	-10.09774	0.7374749498997996
E698_787	-0.7535482	-0.47100684	0.5250501002004008
E996_179	1.9763738	10.820312	0.1189044756179024
E904_435	1.1127323	6.228542	0.2899131596526386
E292_543	0.030867629	2.6648886	0.3620574482297929
E913_1376	-4.70438	-13.7021885	0.918503674014696
E103_1019	-2.9652662	-8.560261	0.6800267201068805
E696_1495	-3.8688483	-14.951263	0.997995991983968
E911_1467	-3.3485599	-15.200196	0.9792919171676688
E376_1308	-3.81324	-13.388053	0.8730794923179692
E737_385	0.8194069	6.1940494	0.2565130260521042
E676_741	-0.4782459	0.46240243	0.4943219772879091
E51_243	1.6144222	10.132103	0.1616566466265865
E537_636	0.33492973	2.644744	0.4241816967267869
E86_619	0.002791144	1.6437098	0.4128256513026052
E754_256	1.8135089	9.628899	0.1703406813627254
E930_1009	-1.5989821	-4.9971905	0.6733466933867736
E946_1096	-2.5753477	-8.048083	0.7314629258517034
E726_408	0.57737005	6.0516186	0.27187708750835
E369_1450	-4.9086337	-13.531477	0.9679358717434868
E148_593	-0.38884833	2.9350045	0.3954575818303273
E123_329	0.98127174	6.4193454	0.2191048764195056
E14_1118	-2.0892048	-7.729942	0.7461589846359385
E243_923	-2.71734	-7.272061	0.6158984635938544
E545_1409	-4.5476637	-14.775288	0.9405477621910489
E890_263	1.2426207	9.308014	0.1750167000668002
E716_219	1.961115	10.335435	0.14562458249833
E833_423	0.49292988	5.249845	0.2818971275885104
E635_1235	-3.0529258	-9.153771	0.824315297261189
E891_775	-0.7058546	-1.4755002	0.5170340681362725
E546_601	0.1664796	2.903339	0.4008016032064128
E674_238	2.249799	12.132935	0.158316633266533
E780_1065	-3.2315469	-11.746672	0.7107548430193721
E82_360	2.3559434	10.237313	0.239812959251837
E828_1472	-4.2954035	-14.991004	0.982631930527722
E970_1310	-4.734982	-13.628852	0.8744154976619907
E128_190	1.6874661	10.330452	0.12625250501002
E645_501	1.0143648	6.427585	0.334001336005344
E321_658	0.19041568	2.7387455	0.438877755511022
E568_504	0.42745578	3.9541242	0.3360053440213761
E849_1081	-3.4891744	-9.885974	0.7214428857715431
E951_1323	-3.7630382	-14.99858	0.8830995323981295
E861_607	0.08580959	2.4811325	0.4048096192384769
E436_1357	-4.3026233	-13.568104	0.905811623246493
E959_1366	-4.8036966	-14.929504	0.9118236472945892
E458_49	2.7799268	13.69637	0.032064128256513
E591_615	-0.29490516	0.050647907	0.4101536406145624
E412_481	0.6524457	4.5250316	0.3206412825651302
E835_491	0.5037318	4.50472	0.3273213092852371
E763_1280	-3.8825116	-11.806211	0.85437541750167
E739_656	0.11388701	1.7648114	0.4375417501670006
E575_788	-0.65685713	-2.5646396	0.5257181028724115
E98_61	1.9909352	13.657583	0.0400801603206412
E64_1178	-4.3266454	-11.97841	0.7862391449565799
E364_1154	-3.195625	-8.844905	0.7702070808283233
E456_703	-0.4952994	0.10803086	0.468937875751503
E738_330	2.009769	8.037541	0.2197728790915163
E269_1415	-4.223875	-14.491174	0.9445557782231128
E160_490	0.5354652	6.8290286	0.3266533066132264
E968_1458	-3.6109712	-15.339878	0.9732798931195724
E851_209	1.5907408	10.905437	0.1389445557782231
E141_1396	-3.8762624	-13.160469	0.93186372745491
E668_7	1.0654657	14.064974	0.0040080160320641
E512_313	1.1680392	8.403024	0.2084168336673346
E969_405	1.2519801	7.9033666	0.269873079492318
E4_845	-0.5524832	-1.8905395	0.5637942551770208
E479_77	2.213348	13.766226	0.0507682030728122
E116_346	1.2122904	7.6019692	0.2304609218436873
E942_1409	-4.4270697	-13.231675	0.9405477621910489
E439_1027	-1.9234619	-6.447219	0.685370741482966
E564_1283	-3.8909304	-13.441846	0.8563794255177021
E562_233	2.0083334	9.876888	0.1549766199064796
E130_1316	-3.7861176	-10.008778	0.8784235136940548
E832_1196	-3.219936	-10.31253	0.7982631930527722
E21_1005	-2.3268268	-4.983946	0.6706746826987308
E421_42	1.8578238	13.740588	0.0273881095524382
E528_890	-1.8708094	-4.719858	0.5938543754175016
E291_555	0.36285675	3.1893978	0.3700734802939212
E724_955	-1.4342961	-4.2164216	0.6372745490981964
E358_903	-1.5113065	-3.409296	0.6025384101536406
E462_3	1.060676	14.205593	0.0013360053440213
E416_4	1.0582377	14.2471	0.002004008016032
E540_924	-2.3265996	-6.421753	0.6165664662658651
E252_616	-0.67275476	-0.2570003	0.4108216432865731
E679_1093	-2.9312725	-9.25143	0.7294589178356713
E899_1404	-4.6077013	-14.513386	0.9372077488309952
E43_1328	-4.1634865	-12.629981	0.8864395457581831
E343_37	2.537191	13.836656	0.0240480961923847
E427_122	2.0726075	11.757224	0.0808283233132932
E75_1394	-3.8149478	-14.761293	0.9305277221108884
E193_615	0.083010875	2.4688935	0.4101536406145624
E820_550	0.08987122	2.7500606	0.3667334669338677
E277_484	0.18860543	4.414856	0.3226452905811623
E329_751	-0.95072395	-0.208837	0.501002004008016
E529_900	-2.059215	-6.0437098	0.6005344021376086
E693_1421	-4.3583646	-14.665772	0.948563794255177
E663_931	-2.780869	-5.831825	0.6212424849699398
E571_1080	-2.4200797	-8.244584	0.7207748830995324
E613_1374	-4.069652	-14.210011	0.9171676686706748
E54_126	1.7321692	12.731187	0.083500334001336
E305_132	1.8344563	13.460103	0.0875083500334001
E670_920	-1.6232957	-4.455614	0.6138944555778223
E208_1122	-3.4101717	-9.898939	0.7488309953239813
E129_119	2.34355	13.151972	0.0788243152972612
E385_1012	-2.656288	-7.8669815	0.6753507014028056
E213_1413	-4.36646	-15.119318	0.9432197728790916
E963_416	0.57721174	5.89732	0.2772211088844355
E647_491	0.82384604	4.810663	0.3273213092852371
E556_389	1.0146945	7.7533474	0.259185036740147
E722_684	0.08261939	1.7574667	0.4562458249832999
E561_1012	-3.2727427	-8.123262	0.6753507014028056
E762_1047	-2.7945065	-8.483032	0.6987307949231797
E102_1380	-4.358242	-13.162727	0.9211756847027388
E265_589	-0.2761902	1.6110529	0.3927855711422846
E587_387	0.85839236	6.794654	0.2578490313961256
E149_941	-1.7953194	-5.873067	0.6279225116900468
E473_723	-0.61520463	1.341145	0.4822979291917167
E40_772	-1.3948637	-2.339525	0.5150300601202404
E713_1397	-3.710764	-12.444009	0.9325317301269204
E569_457	0.0070114117	4.0459676	0.3046092184368738
E13_42	2.3277528	13.861127	0.0273881095524382
E392_340	2.3539917	9.085844	0.2264529058116232
E506_1274	-3.374544	-10.698327	0.8503674014696059
E200_878	-0.9315261	-0.8997957	0.5858383433533734
E855_953	-2.9361546	-8.264791	0.635938543754175
E983_1326	-4.1657343	-14.744009	0.8851035404141616
E335_767	-1.1927742	-1.8848181	0.511690046760187
E53_1291	-4.6562276	-12.918088	0.8617234468937875
E454_224	1.844052	10.77797	0.1489645958583834
E434_320	1.2596399	8.856568	0.2130928523714094
E363_461	0.63906467	5.184269	0.3072812291249165
E873_1018	-2.0351467	-5.218213	0.6793587174348698
E398_1235	-3.8963685	-12.016772	0.824315297261189
E164_370	1.1189042	8.529374	0.2464929859719438
E77_843	-1.4183209	-3.9267294	0.5624582498329993
E314_843	-2.2534926	-6.067115	0.5624582498329993
E216_518	0.2087024	2.2644258	0.3453573814295257
E370_22	1.8872542	13.879803	0.0140280561122244
E755_873	-1.6315403	-2.289179	0.58249832999332
E202_1151	-3.1892455	-9.944542	0.7682030728122913
E390_891	-1.4635649	-3.6999407	0.5945223780895124
E270_725	-0.59625596	1.8859044	0.4836339345357381
E948_296	2.0574145	9.895387	0.1970607882431529
E49_1324	-3.9730105	-11.9660225	0.8837675350701403
E533_702	-1.2438629	-1.4204985	0.4682698730794923
E522_53	2.4514377	13.746649	0.0347361389445557
E26_40	2.4586408	13.957887	0.0260521042084168
E197_554	0.42608073	4.8816075	0.3694054776219105
E127_957	-1.6849512	-4.5377645	0.6386105544422178
E601_814	-2.4808109	-5.295166	0.5430861723446894
E955_80	1.7290659	13.587278	0.0527722110888443
E555_216	1.7540624	11.687699	0.1436205744822979
E167_838	-0.6229411	-0.052246913	0.5591182364729459
E492_428	1.2696564	8.412485	0.2852371409485638
E658_327	1.7587456	7.864057	0.2177688710754843
E932_1152	-2.6016033	-7.9973154	0.7688710754843019
E766_449	1.2853093	10.656773	0.2992651970607882
E581_130	2.2916143	12.14333	0.0861723446893787
E586_872	-2.5110402	-6.1022873	0.5818303273213092
E827_319	1.060006	8.79763	0.2124248496993988
E68_1090	-3.2854502	-9.81273	0.7274549098196392
E241_840	-0.95503813	-2.7831628	0.5604542418169672
E603_233	1.8830341	10.524517	0.1549766199064796
E666_1307	-3.618752	-13.12549	0.8724114896459586
E504_81	2.3514187	13.704648	0.053440213760855
E989_202	1.6125642	10.552057	0.1342685370741483
E403_521	0.6319139	4.774364	0.3473613894455578
E824_1397	-4.236984	-14.412962	0.9325317301269204
E174_767	-0.88984793	-1.6785237	0.511690046760187
E223_246	1.6423321	9.448668	0.1636606546426185
E549_907	-1.532805	-4.012662	0.6052104208416834
E872_1179	-4.1841087	-12.134235	0.7869071476285905
E501_1185	-3.5149167	-9.686705	0.7909151636606546
E108_296	1.1282024	7.869363	0.1970607882431529
E893_281	2.0936844	9.736822	0.1870407481629926
E463_1120	-3.7640085	-9.945026	0.7474949899799599
E770_1287	-4.753718	-14.482443	0.8590514362057449
E182_477	-0.10651757	4.091972	0.3179692718770875
E753_248	1.7368393	10.974706	0.1649966599866399
E476_910	-1.3710053	-2.3033402	0.6072144288577155
E324_299	1.3282247	8.752802	0.199064796259185
E616_460	1.0946892	6.385753	0.3066132264529058
E181_658	-0.30307496	0.36237642	0.438877755511022
E639_57	2.8151903	13.652389	0.0374081496325985
E712_1313	-4.4129877	-14.755445	0.8764195056780227
E906_745	-0.69723564	-0.17984755	0.4969939879759519
E442_82	2.644481	13.336019	0.0541082164328657
E727_1338	-3.8474052	-13.55028	0.8931195724782899
E326_1380	-4.580422	-14.556916	0.9211756847027388
E477_266	1.5708115	9.67111	0.1770207080828323
E793_991	-1.2318393	-3.1839256	0.6613226452905812
E93_1029	-1.0938269	-2.0258505	0.6867067468269873
E377_1047	-2.4812703	-6.455149	0.6987307949231797
E294_1209	-3.946385	-11.444957	0.8069472277889111
E841_868	-2.8250155	-5.4661326	0.5791583166332666
E236_544	0.8060226	5.197146	0.3627254509018036
E486_1101	-3.2065358	-8.499994	0.7348029392117569
E143_1006	-2.194167	-7.587926	0.6713426853707415
E355_482	-0.092495196	3.9357727	0.321309285237141
E897_550	0.10718591	1.9652566	0.3667334669338677
E764_597	-0.05715605	3.709359	0.3981295925183701
E718_601	-0.03931635	3.0196893	0.4008016032064128
E132_96	2.3191495	13.719262	0.0634602538410153
E374_281	1.8154055	9.48229	0.1870407481629926
E819_1077	-3.5313442	-7.746278	0.7187708750835003
E227_107	2.4837258	13.133397	0.0708082832331329
E28_790	-1.4242079	-4.0080776	0.5270541082164328
E518_778	-1.1629963	-2.127053	0.5190380761523046
E697_700	-0.6657304	-1.9046367	0.4669338677354709
E818_1445	-3.4701421	-15.197384	0.9645958583834336
E864_819	-1.5013957	-3.043567	0.5464261857047428
E423_211	1.9516674	12.180557	0.1402805611222445
E608_1035	-3.0086231	-9.745378	0.6907147628590514
E495_458	0.33355612	4.044686	0.3052772211088844
E758_494	0.38023293	5.6966834	0.3293253173012692
E57_851	-1.5256761	-5.160788	0.5678022712090849
E485_1168	-2.9386337	-10.271531	0.779559118236473
E336_152	1.8702781	11.936372	0.1008684034736139
E274_344	1.0241355	7.9418516	0.229124916499666
E850_1231	-4.5482883	-13.26752	0.8216432865731463
E792_653	-0.37033832	0.6983413	0.4355377421509686
E730_921	-2.0953238	-5.814908	0.614562458249833
E38_43	2.1189294	13.996886	0.0280561122244488
E928_983	-1.943135	-6.4855485	0.6559786239144957
E769_1137	-3.2735236	-10.26016	0.7588510354041417
E320_602	0.5630808	3.8522341	0.4014696058784235
E795_187	1.653116	12.2120075	0.1242484969939879
E910_912	-1.901835	-5.3209276	0.6085504342017368
E729_1302	-4.54997	-13.247708	0.8690714762859052
E803_864	-2.412675	-5.785194	0.5764863059452238
E993_1031	-2.76946	-7.7484913	0.6880427521710086
E621_1032	-2.451807	-6.788137	0.6887107548430194
E839_99	2.2178802	12.599463	0.0654642618570474
E650_77	1.5978935	13.354097	0.0507682030728122
E284_1138	-2.7107542	-10.407664	0.7595190380761523
E278_235	1.6879778	11.285544	0.156312625250501
E375_1386	-3.9752188	-13.736411	0.9251837007348028
E55_105	1.6899852	12.24874	0.0694722778891115
E662_767	-0.5563121	-0.18125187	0.511690046760187
E752_495	0.14824727	3.2453268	0.3299933199732799
E641_868	-1.6075262	-2.6328523	0.5791583166332666
E604_261	1.8758905	9.723347	0.1736806947227789
E986_984	-2.893001	-7.895216	0.6566466265865063
E245_573	0.31408328	2.040694	0.3820975283901135
E5_454	0.7609608	6.102811	0.3026052104208417
E228_263	1.4270058	9.435545	0.1750167000668002
E627_861	-1.2586817	-4.6301603	0.5744822979291917
E448_892	-2.0927327	-5.672631	0.5951903807615231
E881_872	-2.2431924	-4.0287375	0.5818303273213092
E467_589	0.5166591	1.4551985	0.3927855711422846
E490_1196	-2.674886	-9.758996	0.7982631930527722
E188_11	1.3191639	13.978992	0.0066800267201068
E372_1030	-2.5094817	-7.367828	0.687374749498998
E825_1276	-4.477192	-13.277648	0.8517034068136272
E972_615	-0.050824296	1.3614389	0.4101536406145624
E451_742	-0.49097568	-0.025168695	0.4949899799599198
E675_1296	-3.928589	-9.944892	0.8650634602538411
E530_904	-1.3620992	-1.0674878	0.6032064128256514
E289_159	1.5561922	11.614421	0.1055444221776887
E307_1272	-4.5480227	-12.451111	0.8490313961255845
E31_21	1.2494926	13.756906	0.0133600534402137
E395_158	2.278098	12.014632	0.104876419505678
E233_311	0.9740536	7.8761787	0.2070808283233133
E761_1074	-3.3550613	-10.188185	0.7167668670674683
E327_1013	-3.0068152	-7.956953	0.6760187040748163
E539_306	1.8844708	8.665447	0.2037408149632598
E565_121	1.9376447	13.019428	0.0801603206412825
E384_500	0.9323036	5.166635	0.3333333333333333
E386_791	-0.8735398	-1.2790291	0.5277221108884436
E829_23	1.2015896	13.994206	0.0146960587842351
E750_1472	-4.2242303	-13.439112	0.982631930527722
E767_1223	-4.3367267	-11.889159	0.8162992651970608
E22_304	1.5826597	8.183012	0.2024048096192384
E570_936	-1.8296622	-3.5258021	0.6245824983299934
E332_130	2.1604183	12.03522	0.0861723446893787
E214_311	1.077478	9.259029	0.2070808283233133
E945_162	2.4505901	11.610172	0.1075484301937207
E24_1058	-3.1158879	-10.717197	0.7060788243152972
E393_560	0.6582609	2.6596322	0.3734134936539746
E466_140	2.3153532	11.959238	0.0928523714094856
E446_742	-0.6759507	-2.6901102	0.4949899799599198
E505_723	-0.34063932	0.095014445	0.4822979291917167
E916_881	-1.6679955	-4.6954503	0.5878423513694054
E717_826	-1.7949055	-3.1242986	0.5511022044088176
E66_1	0.9495567	14.280809	0.0
E588_549	0.24684362	3.4459665	0.366065464261857
E72_1089	-1.8190199	-4.05354	0.7267869071476286
E551_684	0.13014315	1.1717324	0.4562458249832999
E90_640	-0.57204175	0.5404921	0.4268537074148296
E523_491	0.4368299	5.9175963	0.3273213092852371
E481_1398	-5.057411	-13.463765	0.9331997327989312
E975_1418	-3.4365368	-15.199402	0.9465597862391448
E869_98	2.424023	13.258529	0.0647962591850367
E192_1312	-4.673431	-13.669364	0.875751503006012
E519_394	1.6588343	8.358968	0.2625250501002004
E947_908	-1.9307936	-4.120087	0.605878423513694
E89_393	1.1257656	8.496233	0.2618570474281897
E796_1364	-4.2974725	-14.500214	0.9104876419505676
E686_692	-0.47764203	-1.083435	0.4615898463593854
E918_872	-0.8473316	-2.2002308	0.5818303273213092
E310_1494	-3.593943	-15.427954	0.9973279893119572
E2_1105	-2.957395	-9.233316	0.7374749498997996
E882_759	-1.0090069	-1.6550301	0.5063460253841016
E413_574	0.24330573	2.3391178	0.3827655310621242
E768_878	-1.7370489	-3.6900337	0.5858383433533734
E312_191	2.4574084	11.613569	0.1269205076820307
E221_715	-1.0562781	-2.3207347	0.4769539078156312
E544_512	0.05001186	4.541735	0.3413493653974616
E32_1380	-4.263481	-12.754538	0.9211756847027388
E407_1173	-3.0704577	-8.002935	0.7828991315965264
E139_1245	-4.0771995	-13.250236	0.8309953239812959
E23_292	1.1382456	7.770886	0.1943887775551102
E133_503	-0.3085081	4.024781	0.3353373413493654
E222_595	0.36088413	3.5518837	0.3967935871743487
E553_129	2.0634613	11.4445095	0.085504342017368
E173_1195	-3.8429947	-11.568317	0.7975951903807615
E909_1152	-2.9429557	-9.438074	0.7688710754843019
E356_1150	-2.991191	-10.544456	0.7675350701402806
E468_655	-0.073276035	0.06028138	0.43687374749499
E912_957	-1.9731833	-5.2560067	0.6386105544422178
E469_543	0.36098382	3.5066998	0.3620574482297929
E422_1188	-4.128931	-13.001689	0.7929191716766867
E105_370	0.9875476	7.8987956	0.2464929859719438
E700_861	-1.5665832	-6.196476	0.5744822979291917
E124_940	-1.5170007	-2.200795	0.627254509018036
E740_764	-1.6396749	-1.8731833	0.509686038744155
E137_1380	-3.9011605	-12.114447	0.9211756847027388
E657_596	0.7543876	4.3909636	0.3974615898463594
E142_1498	-3.5724392	-15.149187	1.0
E73_1048	-3.052757	-8.0459795	0.6993987975951904
E678_155	1.9664258	12.936413	0.1028724114896459
