	dim1	dim2	pt
E309_279	1.6000578	-3.5006943	0.35013
E472_267	1.7937332	0.6131223	0.33501
E398_566	15.965516	0.34488893	0.71159
E206_460	-1.6892339	2.0836394	0.57809
E157_149	0.28891543	-4.686185	0.1864
E26_396	-1.4334192	1.9463383	0.49748
E943_743	16.04421	1.4209762	0.93451
E758_436	4.512976	3.9140396	0.54786
E391_50	-1.704381	-5.9391775	0.06171
E293_659	5.0713325	5.0108843	0.82872
E235_413	4.430396	3.662479	0.51889
E796_552	5.1369767	4.57793	0.69395
E531_532	14.264313	0.6121806	0.66877
E64_779	4.7578363	5.0780807	0.97985
E622_389	-0.22481507	1.1776791	0.48866
E68_486	15.982012	-0.23791526	0.61083
E646_419	3.7261586	1.7384496	0.52645
E91_421	16.294718	0.07465026	0.52897
E733_691	-2.624387	3.064132	0.86902
E339_701	-2.9851248	2.4821894	0.88161
E487_197	2.2614455	-2.6615813	0.24685
E709_571	15.567816	1.0819396	0.71788
E271_348	3.198579	-0.881014	0.43703
E905_69	-1.040736	-6.4091144	0.08564
E978_152	1.0900532	-4.4493566	0.19018
E537_521	15.959157	1.025289	0.65491
E671_404	14.49979	0.42910567	0.50756
E730_768	4.5261574	4.812085	0.96599
E111_550	16.034883	1.3281239	0.69144
E352_618	4.8734193	5.1579347	0.77708
E602_116	0.07389433	-5.3847384	0.14484
E870_283	3.8955338	-1.744635	0.35516
E256_314	4.7413654	5.195933	0.39421
E384_328	-0.394133	1.2748663	0.41184
E148_580	-2.9727194	2.4052086	0.72922
E624_76	-0.1643074	-5.9636497	0.09446
E948_60	-1.3314722	-6.227617	0.07431
E917_728	16.035046	1.0455458	0.91562
E544_582	-1.3278036	-6.519966	0.73174
E521_761	-3.2676044	2.8603628	0.95718
E473_28	-1.6307433	-5.9301124	0.03401
E766_11	-2.5062237	-5.467475	0.01259
E894_609	16.73847	0.8198522	0.76574
E136_68	-1.5470978	-6.441094	0.08438
E380_633	-3.0100245	2.4503667	0.79597
E959_584	16.627121	0.3930604	0.73426
E138_122	1.1042624	-5.400644	0.15239
E777_279	3.7115715	-0.7812183	0.35013
E573_746	16.365562	0.009781792	0.93829
E994_388	3.6443765	2.2612083	0.48741
E468_377	2.7541234	-1.5672438	0.47355
E193_298	1.3849232	0.3144776	0.37406
E881_136	-0.8124278	-6.7179885	0.17003
E442_288	2.9355712	0.9284544	0.36146
E678_356	2.4684207	-1.6592736	0.4471
E549_435	14.0881195	0.93863565	0.5466
E945_192	2.5134182	-2.2271347	0.24055
E55_79	-1.9856664	-6.08571	0.09824
E562_103	-0.9425983	-6.273148	0.12846
E109_246	3.8660417	-2.2303917	0.30856
E718_110	-0.25724292	-5.3446302	0.13728
E16_61	-1.3882643	-6.5744104	0.07557
E407_367	14.227841	0.35353166	0.46096
E279_724	15.7027025	0.3692247	0.91058
E525_537	15.290584	1.095346	0.67506
E934_26	-1.1263146	-6.6896505	0.03149
E619_457	5.1739354	3.9684575	0.57431
E593_149	0.9541935	-4.73836	0.1864
E565_40	-1.6476347	-6.068776	0.04912
E913_748	16.183956	1.2034873	0.94081
E542_496	15.456724	1.2807819	0.62343
E628_782	4.4903097	5.1706853	0.98363
E823_252	3.7347136	-2.33332	0.31612
E635_559	4.4868536	4.101204	0.70277
E523_274	3.2125878	-2.1549306	0.34383
E204_270	1.8123052	-0.4532526	0.33879
E66_316	2.9746723	-0.49771303	0.39673
E820_173	0.34308586	-4.5996833	0.21662
E108_687	4.973983	4.568249	0.86398
E23_28	-1.3890799	-6.138537	0.03401
E688_690	4.539014	4.8920736	0.86776
E744_319	2.332253	0.623202	0.4005
E366_121	0.6028892	-5.499127	0.15113
E77_787	15.917099	0.017829545	0.98992
E655_190	1.1763929	-5.085224	0.23804
E351_360	13.124137	0.34365043	0.45214
E914_365	13.899504	0.45397085	0.45844
E249_295	2.6684673	-2.0803359	0.37028
E729_725	4.701534	5.4050555	0.91184
E519_469	4.5263176	4.3244085	0.58942
E97_278	0.3813086	0.5968389	0.34887
E394_431	4.413747	4.214208	0.54156
E941_550	-2.6787872	3.105867	0.69144
E576_255	2.6376379	-2.563136	0.3199
E797_345	3.6192968	1.8164788	0.43325
E252_564	-3.357357	2.4747162	0.70907
E17_416	15.724269	1.3553052	0.52267
E413_695	15.803018	0.92346513	0.87406
E689_731	4.653915	4.859848	0.9194
E479_228	4.0393424	-1.7837793	0.28589
E228_514	15.26372	0.6860993	0.6461
E81_562	4.982879	4.6050324	0.70655
E392_249	3.6505115	-2.212946	0.31234
E631_262	3.5098507	-1.7776283	0.32872
E732_771	-2.6333263	3.205608	0.96977
E172_220	3.7086852	-1.9821265	0.27582
E200_345	2.0027347	0.61761063	0.43325
E100_331	3.4172325	-2.0659833	0.41562
E10_681	16.528135	1.2395282	0.85642
E925_445	-3.2842252	2.8402262	0.55919
E123_67	-1.4296421	-6.3385296	0.08312
E268_444	13.709738	0.55487937	0.55793
E377_539	4.7553873	5.4849067	0.67758
E751_197	1.0644314	-5.11577	0.24685
E837_647	4.9286666	5.2475004	0.8136
E232_139	2.5343115	-2.2273848	0.1738
E687_384	3.679708	1.8943834	0.48237
E446_350	-0.6520136	1.4339507	0.43955
E719_527	-2.6981404	2.9853888	0.66247
E618_248	3.8098826	-1.9596038	0.31108
E15_231	3.4964113	-2.121648	0.28967
E570_401	-1.76339	2.149488	0.50378
E915_522	-2.8646953	2.5573106	0.65617
E141_77	-0.5682194	-6.6532617	0.09572
E401_371	-0.52569765	1.3944997	0.46599
E500_229	3.317354	-2.116749	0.28715
E126_218	2.6111114	-2.619479	0.2733
E871_28	-1.977088	-5.7505393	0.03401
E809_507	4.683094	5.358665	0.63728
E812_234	3.9305081	-1.9265376	0.29345
E188_600	-3.145696	3.018618	0.75441
E46_151	1.102099	-4.737229	0.18892
E245_793	4.5279365	5.221003	0.99748
E654_622	-3.1416705	3.0202436	0.78212
E568_665	-3.1427782	2.9879155	0.83627
E969_28	-2.17552	-5.9266424	0.03401
E799_365	0.9850973	0.8037284	0.45844
E976_50	-1.9182343	-5.818391	0.06171
E130_478	-1.9922388	2.300981	0.60076
E986_371	1.3163388	-0.24342403	0.46599
E323_767	16.043734	1.1036627	0.96474
E722_507	14.788385	0.20956932	0.63728
E564_585	15.814938	0.37976	0.73552
E408_687	5.058097	4.736037	0.86398
E284_199	1.1511853	-4.150878	0.24937
E286_342	4.739077	-0.51196283	0.42947
E529_291	3.8076046	-1.795464	0.36524
E175_751	4.3956647	4.7677307	0.94458
E901_142	-0.24686992	-4.9752426	0.17758
E183_87	-1.1307079	-6.496217	0.10831
E982_482	-1.7041472	2.0887902	0.60579
E957_41	-1.4595966	-6.0701013	0.05038
E121_369	4.220356	4.069188	0.46348
E639_188	0.71830875	-4.684625	0.23552
E975_795	-3.3237262	2.6676803	1.0
E207_137	0.44992793	-5.2481346	0.17128
E609_601	4.993758	4.5970955	0.75567
E482_176	0.45668468	-4.8949275	0.2204
E373_751	15.976945	1.0884827	0.94458
E952_278	3.5198503	-1.8786376	0.34887
E912_208	3.090819	-1.859387	0.26071
E990_668	4.566816	4.77908	0.84005
E201_437	15.7865305	0.28382042	0.54912
E811_330	3.9737663	2.6612303	0.41436
E187_420	14.14905	0.48652065	0.52771
E95_752	4.465643	4.9512696	0.94584
