Gene	Rule
g1	not ( f26 )
g2	g1
g3	g2
f4	( g3 )
g4	( f4 or g4 ) and ( not g5 )
f5	( g3 )
g5	( f5 or g5 ) and ( not g4 )
f6	( g4 )
g6	( f6 or g6 ) and ( not g7 )
f7	( g4 )
g7	( f7 or g7 ) and ( not g6 )
f8	( g5 )
g8	( f8 or g8 ) and ( not g9 )
f9	( g5 )
g9	( f9 or g9 ) and ( not g8 )
f10	( g6 )
g10	( f10 or g10 ) and ( not g11 )
f11	( g6 )
g11	( f11 or g11 ) and ( not g10 )
f12	( g7 )
g12	( f12 or g12 ) and ( not g13 )
f13	( g7 )
g13	( f13 or g13 ) and ( not g12 )
f14	( g8 )
g14	( f14 or g14 ) and ( not g15 )
f15	( g8 )
g15	( f15 or g15 ) and ( not g14 )
f16	( g9 )
g16	( f16 or g16 ) and ( not g17 )
f17	( g9 )
g17	( f17 or g17 ) and ( not g16 )
f18	( g10 )
g18	( f18 or g18 ) and ( not g19 )
f19	( g10 )
g19	( f19 or g19 ) and ( not g18 )
f20	( g11 )
g20	( f20 or g20 ) and ( not g21 )
f21	( g11 )
g21	( f21 or g21 ) and ( not g20 )
f22	( g12 )
g22	( f22 or g22 ) and ( not g23 )
f23	( g12 )
g23	( f23 or g23 ) and ( not g22 )
f24	( g13 )
g24	( f24 or g24 ) and ( not g25 )
f25	( g13 )
g25	( f25 or g25 ) and ( not g24 )
f26	( g14 )
g26	( f26 or g26 ) and ( not g27 )
f27	( g14 )
g27	( f27 or g27 ) and ( not g26 )
f28	( g15 )
g28	( f28 or g28 ) and ( not g29 )
f29	( g15 )
g29	( f29 or g29 ) and ( not g28 )
f30	( g16 )
g30	( f30 or g30 ) and ( not g31 )
f31	( g16 )
g31	( f31 or g31 ) and ( not g30 )
f32	( g17 )
g32	( f32 or g32 ) and ( not g33 )
f33	( g17 )
g33	( f33 or g33 ) and ( not g32 )
