Gene	Rule
g1	not ( g130 )
g2	g1
g3	g2
e4	( g3 )
f4	( e4 )
g4	( f4 or g4 ) and ( not g5 )
e5	( g3 )
f5	( e5 )
g5	( f5 or g5 ) and ( not g4 )
e6	( g4 )
f6	( e6 )
g6	( f6 or g6 ) and ( not g7 )
e7	( g4 )
f7	( e7 )
g7	( f7 or g7 ) and ( not g6 )
e8	( g5 )
f8	( e8 )
g8	( f8 or g8 ) and ( not g9 )
e9	( g5 )
f9	( e9 )
g9	( f9 or g9 ) and ( not g8 )
e10	( g6 )
f10	( e10 )
g10	( f10 or g10 ) and ( not g11 )
e11	( g6 )
f11	( e11 )
g11	( f11 or g11 ) and ( not g10 )
e12	( g7 )
f12	( e12 )
g12	( f12 or g12 ) and ( not g13 )
e13	( g7 )
f13	( e13 )
g13	( f13 or g13 ) and ( not g12 )
e14	( g8 )
f14	( e14 )
g14	( f14 or g14 ) and ( not g15 )
e15	( g8 )
f15	( e15 )
g15	( f15 or g15 ) and ( not g14 )
e16	( g9 )
f16	( e16 )
g16	( f16 or g16 ) and ( not g17 )
e17	( g9 )
f17	( e17 )
g17	( f17 or g17 ) and ( not g16 )
e18	( g10 )
f18	( e18 )
g18	( f18 or g18 ) and ( not g19 )
e19	( g10 )
f19	( e19 )
g19	( f19 or g19 ) and ( not g18 )
e20	( g11 )
f20	( e20 )
g20	( f20 or g20 ) and ( not g21 )
e21	( g11 )
f21	( e21 )
g21	( f21 or g21 ) and ( not g20 )
e22	( g12 )
f22	( e22 )
g22	( f22 or g22 ) and ( not g23 )
e23	( g12 )
f23	( e23 )
g23	( f23 or g23 ) and ( not g22 )
e24	( g13 )
f24	( e24 )
g24	( f24 or g24 ) and ( not g25 )
e25	( g13 )
f25	( e25 )
g25	( f25 or g25 ) and ( not g24 )
e26	( g14 )
f26	( e26 )
g26	( f26 or g26 ) and ( not g27 )
e27	( g14 )
f27	( e27 )
g27	( f27 or g27 ) and ( not g26 )
e28	( g15 )
f28	( e28 )
g28	( f28 or g28 ) and ( not g29 )
e29	( g15 )
f29	( e29 )
g29	( f29 or g29 ) and ( not g28 )
e30	( g16 )
f30	( e30 )
g30	( f30 or g30 ) and ( not g31 )
e31	( g16 )
f31	( e31 )
g31	( f31 or g31 ) and ( not g30 )
e32	( g17 )
f32	( e32 )
g32	( f32 or g32 ) and ( not g33 )
e33	( g17 )
f33	( e33 )
g33	( f33 or g33 ) and ( not g32 )
e34	( g18 )
f34	( e34 )
g34	( f34 or g34 ) and ( not g35 )
e35	( g18 )
f35	( e35 )
g35	( f35 or g35 ) and ( not g34 )
e36	( g19 )
f36	( e36 )
g36	( f36 or g36 ) and ( not g37 )
e37	( g19 )
f37	( e37 )
g37	( f37 or g37 ) and ( not g36 )
e38	( g20 )
f38	( e38 )
g38	( f38 or g38 ) and ( not g39 )
e39	( g20 )
f39	( e39 )
g39	( f39 or g39 ) and ( not g38 )
e40	( g21 )
f40	( e40 )
g40	( f40 or g40 ) and ( not g41 )
e41	( g21 )
f41	( e41 )
g41	( f41 or g41 ) and ( not g40 )
e42	( g22 )
f42	( e42 )
g42	( f42 or g42 ) and ( not g43 )
e43	( g22 )
f43	( e43 )
g43	( f43 or g43 ) and ( not g42 )
e44	( g23 )
f44	( e44 )
g44	( f44 or g44 ) and ( not g45 )
e45	( g23 )
f45	( e45 )
g45	( f45 or g45 ) and ( not g44 )
e46	( g24 )
f46	( e46 )
g46	( f46 or g46 ) and ( not g47 )
e47	( g24 )
f47	( e47 )
g47	( f47 or g47 ) and ( not g46 )
e48	( g25 )
f48	( e48 )
g48	( f48 or g48 ) and ( not g49 )
e49	( g25 )
f49	( e49 )
g49	( f49 or g49 ) and ( not g48 )
e50	( g26 )
f50	( e50 )
g50	( f50 or g50 ) and ( not g51 )
e51	( g26 )
f51	( e51 )
g51	( f51 or g51 ) and ( not g50 )
e52	( g27 )
f52	( e52 )
g52	( f52 or g52 ) and ( not g53 )
e53	( g27 )
f53	( e53 )
g53	( f53 or g53 ) and ( not g52 )
e54	( g28 )
f54	( e54 )
g54	( f54 or g54 ) and ( not g55 )
e55	( g28 )
f55	( e55 )
g55	( f55 or g55 ) and ( not g54 )
e56	( g29 )
f56	( e56 )
g56	( f56 or g56 ) and ( not g57 )
e57	( g29 )
f57	( e57 )
g57	( f57 or g57 ) and ( not g56 )
e58	( g30 )
f58	( e58 )
g58	( f58 or g58 ) and ( not g59 )
e59	( g30 )
f59	( e59 )
g59	( f59 or g59 ) and ( not g58 )
e60	( g31 )
f60	( e60 )
g60	( f60 or g60 ) and ( not g61 )
e61	( g31 )
